SaleID,Customer ID,SaleDate,Invoice Date,Payment Date,Invoice Amount,Payment Amount,Due Date,QuantitySold,UnitPrice,TransactionID,TransactionDate,TransactionType,Amount,Category,Description,DaysToCollect,DaysToPay,DaysToCollect_avg_DSO,DaysToPay_avg_DPO,InventoryTurnover
SALE00327,CUST044,2023-11-23,2023-12-11,2023-09-10,17892.84,23899.73,2023-09-29,240,360.59,TXN00327,2023-11-23,Cash Inflow,17016,Operating Activities,Transaction 327,-92,-92,-92.0,-92.0,240
SALE00369,CUST044,2024-01-04,2023-12-11,2023-09-10,17892.84,23899.73,2023-09-29,282,300.83,TXN00369,2024-01-04,Cash Inflow,45882,Investing Activities,Transaction 369,-92,-92,-92.0,-92.0,282
SALE00505,CUST044,2024-05-19,2023-12-11,2023-09-10,17892.84,23899.73,2023-09-29,228,416.37,TXN00505,2024-05-19,Cash Inflow,10674,Investing Activities,Transaction 505,-92,-92,-92.0,-92.0,228
SALE00623,CUST044,2024-09-14,2023-12-11,2023-09-10,17892.84,23899.73,2023-09-29,102,183.87,TXN00623,2024-09-14,Cash Inflow,110430,Operating Activities,Transaction 623,-92,-92,-92.0,-92.0,102
SALE00782,CUST044,2025-02-20,2023-12-11,2023-09-10,17892.84,23899.73,2023-09-29,108,287.12,TXN00782,2025-02-20,Cash Inflow,79278,Financing Activities,Transaction 782,-92,-92,-92.0,-92.0,108
SALE00795,CUST044,2025-03-05,2023-12-11,2023-09-10,17892.84,23899.73,2023-09-29,108,236.25,TXN00795,2025-03-05,Cash Inflow,15384,Operating Activities,Transaction 795,-92,-92,-92.0,-92.0,108
SALE00003,CUST011,2023-01-03,2023-07-22,2023-05-25,38055.71,31996.71,2023-02-25,136,474.18,TXN00003,2023-01-03,Cash Inflow,46560,Operating Activities,Transaction 3,-58,-58,-58.0,-58.0,136
SALE00139,CUST011,2023-05-19,2023-07-22,2023-05-25,38055.71,31996.71,2023-02-25,208,171.22,TXN00139,2023-05-19,Cash Inflow,117424,Operating Activities,Transaction 139,-58,-58,-58.0,-58.0,208
SALE00159,CUST011,2023-06-08,2023-07-22,2023-05-25,38055.71,31996.71,2023-02-25,312,213.79,TXN00159,2023-06-08,Cash Inflow,157448,Financing Activities,Transaction 159,-58,-58,-58.0,-58.0,312
SALE00268,CUST011,2023-09-25,2023-07-22,2023-05-25,38055.71,31996.71,2023-02-25,136,433.66,TXN00268,2023-09-25,Cash Outflow,67872,Investing Activities,Transaction 268,-58,-58,-58.0,-58.0,136
SALE00289,CUST011,2023-10-16,2023-07-22,2023-05-25,38055.71,31996.71,2023-02-25,176,384.94,TXN00289,2023-10-16,Cash Inflow,64616,Financing Activities,Transaction 289,-58,-58,-58.0,-58.0,176
SALE00316,CUST011,2023-11-12,2023-07-22,2023-05-25,38055.71,31996.71,2023-02-25,304,425.11,TXN00316,2023-11-12,Cash Outflow,126992,Investing Activities,Transaction 316,-58,-58,-58.0,-58.0,304
SALE00525,CUST011,2024-06-08,2023-07-22,2023-05-25,38055.71,31996.71,2023-02-25,8,188.75,TXN00525,2024-06-08,Cash Outflow,155400,Operating Activities,Transaction 525,-58,-58,-58.0,-58.0,8
SALE00546,CUST011,2024-06-29,2023-07-22,2023-05-25,38055.71,31996.71,2023-02-25,32,95.14,TXN00546,2024-06-29,Cash Outflow,97312,Financing Activities,Transaction 546,-58,-58,-58.0,-58.0,32
SALE00695,CUST011,2024-11-25,2023-07-22,2023-05-25,38055.71,31996.71,2023-02-25,296,84.27,TXN00695,2024-11-25,Cash Outflow,128096,Investing Activities,Transaction 695,-58,-58,-58.0,-58.0,296
SALE00869,CUST011,2025-05-18,2023-07-22,2023-05-25,38055.71,31996.71,2023-02-25,392,335.45,TXN00869,2025-05-18,Cash Inflow,131064,Investing Activities,Transaction 869,-58,-58,-58.0,-58.0,392
SALE00888,CUST011,2025-06-06,2023-07-22,2023-05-25,38055.71,31996.71,2023-02-25,328,71.86,TXN00888,2025-06-06,Cash Outflow,158640,Operating Activities,Transaction 888,-58,-58,-58.0,-58.0,328
SALE00924,CUST011,2025-07-12,2023-07-22,2023-05-25,38055.71,31996.71,2023-02-25,232,92.74,TXN00924,2025-07-12,Cash Inflow,77016,Financing Activities,Transaction 924,-58,-58,-58.0,-58.0,232
SALE00004,CUST079,2023-01-04,2023-09-11,2023-01-24,26711.420000000002,20850.58,2023-07-19,126,91.53,TXN00004,2023-01-04,Cash Inflow,82296,Financing Activities,Transaction 4,-230,-230,-230.0,-230.0,126
SALE00036,CUST079,2023-02-05,2023-09-11,2023-01-24,26711.420000000002,20850.58,2023-07-19,126,481.99,TXN00036,2023-02-05,Cash Inflow,62160,Operating Activities,Transaction 36,-230,-230,-230.0,-230.0,126
SALE00037,CUST079,2023-02-06,2023-09-11,2023-01-24,26711.420000000002,20850.58,2023-07-19,84,25.34,TXN00037,2023-02-06,Cash Outflow,38934,Investing Activities,Transaction 37,-230,-230,-230.0,-230.0,84
SALE00057,CUST079,2023-02-26,2023-09-11,2023-01-24,26711.420000000002,20850.58,2023-07-19,30,85.29,TXN00057,2023-02-26,Cash Outflow,102798,Operating Activities,Transaction 57,-230,-230,-230.0,-230.0,30
SALE00114,CUST079,2023-04-24,2023-09-11,2023-01-24,26711.420000000002,20850.58,2023-07-19,156,70.87,TXN00114,2023-04-24,Cash Outflow,6996,Operating Activities,Transaction 114,-230,-230,-230.0,-230.0,156
SALE00199,CUST079,2023-07-18,2023-09-11,2023-01-24,26711.420000000002,20850.58,2023-07-19,288,430.41,TXN00199,2023-07-18,Cash Inflow,64002,Operating Activities,Transaction 199,-230,-230,-230.0,-230.0,288
SALE00255,CUST079,2023-09-12,2023-09-11,2023-01-24,26711.420000000002,20850.58,2023-07-19,60,89.57,TXN00255,2023-09-12,Cash Inflow,45246,Operating Activities,Transaction 255,-230,-230,-230.0,-230.0,60
SALE00351,CUST079,2023-12-17,2023-09-11,2023-01-24,26711.420000000002,20850.58,2023-07-19,132,266.02,TXN00351,2023-12-17,Cash Outflow,37674,Financing Activities,Transaction 351,-230,-230,-230.0,-230.0,132
SALE00653,CUST079,2024-10-14,2023-09-11,2023-01-24,26711.420000000002,20850.58,2023-07-19,174,64.3,TXN00653,2024-10-14,Cash Inflow,62976,Investing Activities,Transaction 653,-230,-230,-230.0,-230.0,174
SALE00728,CUST079,2024-12-28,2023-09-11,2023-01-24,26711.420000000002,20850.58,2023-07-19,156,71.11,TXN00728,2024-12-28,Cash Inflow,14598,Investing Activities,Transaction 728,-230,-230,-230.0,-230.0,156
SALE00810,CUST079,2025-03-20,2023-09-11,2023-01-24,26711.420000000002,20850.58,2023-07-19,150,462.09,TXN00810,2025-03-20,Cash Inflow,102966,Investing Activities,Transaction 810,-230,-230,-230.0,-230.0,150
SALE00959,CUST079,2025-08-16,2023-09-11,2023-01-24,26711.420000000002,20850.58,2023-07-19,258,494.15,TXN00959,2025-08-16,Cash Outflow,54606,Operating Activities,Transaction 959,-230,-230,-230.0,-230.0,258
SALE00005,CUST080,2023-01-05,2023-12-05,2023-04-18,54176.76,53505.47,2023-11-05,126,387.78,TXN00005,2023-01-05,Cash Inflow,29511,Operating Activities,Transaction 5,-231,-231,-231.0,-231.0,126
SALE00118,CUST080,2023-04-28,2023-12-05,2023-04-18,54176.76,53505.47,2023-11-05,270,310.34,TXN00118,2023-04-28,Cash Outflow,106326,Investing Activities,Transaction 118,-231,-231,-231.0,-231.0,270
SALE00237,CUST080,2023-08-25,2023-12-05,2023-04-18,54176.76,53505.47,2023-11-05,180,296.49,TXN00237,2023-08-25,Cash Outflow,119871,Investing Activities,Transaction 237,-231,-231,-231.0,-231.0,180
SALE00365,CUST080,2023-12-31,2023-12-05,2023-04-18,54176.76,53505.47,2023-11-05,261,65.03,TXN00365,2023-12-31,Cash Inflow,107757,Operating Activities,Transaction 365,-231,-231,-231.0,-231.0,261
SALE00411,CUST080,2024-02-15,2023-12-05,2023-04-18,54176.76,53505.47,2023-11-05,72,453.71,TXN00411,2024-02-15,Cash Inflow,123534,Investing Activities,Transaction 411,-231,-231,-231.0,-231.0,72
SALE00509,CUST080,2024-05-23,2023-12-05,2023-04-18,54176.76,53505.47,2023-11-05,261,336.49,TXN00509,2024-05-23,Cash Outflow,164439,Operating Activities,Transaction 509,-231,-231,-231.0,-231.0,261
SALE00591,CUST080,2024-08-13,2023-12-05,2023-04-18,54176.76,53505.47,2023-11-05,414,471.99,TXN00591,2024-08-13,Cash Inflow,151326,Operating Activities,Transaction 591,-231,-231,-231.0,-231.0,414
SALE00618,CUST080,2024-09-09,2023-12-05,2023-04-18,54176.76,53505.47,2023-11-05,378,236.35,TXN00618,2024-09-09,Cash Outflow,83880,Investing Activities,Transaction 618,-231,-231,-231.0,-231.0,378
SALE00733,CUST080,2025-01-02,2023-12-05,2023-04-18,54176.76,53505.47,2023-11-05,288,77.53,TXN00733,2025-01-02,Cash Inflow,123651,Operating Activities,Transaction 733,-231,-231,-231.0,-231.0,288
SALE00814,CUST080,2025-03-24,2023-12-05,2023-04-18,54176.76,53505.47,2023-11-05,9,31.85,TXN00814,2025-03-24,Cash Outflow,119439,Operating Activities,Transaction 814,-231,-231,-231.0,-231.0,9
SALE00837,CUST080,2025-04-16,2023-12-05,2023-04-18,54176.76,53505.47,2023-11-05,387,442.25,TXN00837,2025-04-16,Cash Inflow,133092,Financing Activities,Transaction 837,-231,-231,-231.0,-231.0,387
SALE00976,CUST080,2025-09-02,2023-12-05,2023-04-18,54176.76,53505.47,2023-11-05,441,223.4,TXN00976,2025-09-02,Cash Outflow,47610,Financing Activities,Transaction 976,-231,-231,-231.0,-231.0,441
SALE00006,CUST081,2023-01-06,2023-12-30,2023-03-19,58854.659999999996,65939.7,2023-01-07,99,357.2,TXN00006,2023-01-06,Cash Outflow,195888,Investing Activities,Transaction 6,-286,-286,-286.0,-286.0,99
SALE00189,CUST081,2023-07-08,2023-12-30,2023-03-19,58854.659999999996,65939.7,2023-01-07,286,224.21,TXN00189,2023-07-08,Cash Inflow,147510,Investing Activities,Transaction 189,-286,-286,-286.0,-286.0,286
SALE00230,CUST081,2023-08-18,2023-12-30,2023-03-19,58854.659999999996,65939.7,2023-01-07,495,123.25,TXN00230,2023-08-18,Cash Inflow,125994,Investing Activities,Transaction 230,-286,-286,-286.0,-286.0,495
SALE00251,CUST081,2023-09-08,2023-12-30,2023-03-19,58854.659999999996,65939.7,2023-01-07,473,75.03,TXN00251,2023-09-08,Cash Outflow,5599,Investing Activities,Transaction 251,-286,-286,-286.0,-286.0,473
SALE00355,CUST081,2023-12-21,2023-12-30,2023-03-19,58854.659999999996,65939.7,2023-01-07,110,100.45,TXN00355,2023-12-21,Cash Outflow,124179,Operating Activities,Transaction 355,-286,-286,-286.0,-286.0,110
SALE00386,CUST081,2024-01-21,2023-12-30,2023-03-19,58854.659999999996,65939.7,2023-01-07,418,84.96,TXN00386,2024-01-21,Cash Outflow,43087,Financing Activities,Transaction 386,-286,-286,-286.0,-286.0,418
SALE00447,CUST081,2024-03-22,2023-12-30,2023-03-19,58854.659999999996,65939.7,2023-01-07,22,157.42,TXN00447,2024-03-22,Cash Inflow,78595,Operating Activities,Transaction 447,-286,-286,-286.0,-286.0,22
SALE00487,CUST081,2024-05-01,2023-12-30,2023-03-19,58854.659999999996,65939.7,2023-01-07,352,270.92,TXN00487,2024-05-01,Cash Inflow,54175,Investing Activities,Transaction 487,-286,-286,-286.0,-286.0,352
SALE00573,CUST081,2024-07-26,2023-12-30,2023-03-19,58854.659999999996,65939.7,2023-01-07,33,191.99,TXN00573,2024-07-26,Cash Inflow,7183,Operating Activities,Transaction 573,-286,-286,-286.0,-286.0,33
SALE00729,CUST081,2024-12-29,2023-12-30,2023-03-19,58854.659999999996,65939.7,2023-01-07,451,198.83,TXN00729,2024-12-29,Cash Inflow,200904,Financing Activities,Transaction 729,-286,-286,-286.0,-286.0,451
SALE00743,CUST081,2025-01-12,2023-12-30,2023-03-19,58854.659999999996,65939.7,2023-01-07,154,259.95,TXN00743,2025-01-12,Cash Outflow,50963,Financing Activities,Transaction 743,-286,-286,-286.0,-286.0,154
SALE00787,CUST081,2025-02-25,2023-12-30,2023-03-19,58854.659999999996,65939.7,2023-01-07,484,297.37,TXN00787,2025-02-25,Cash Inflow,112926,Operating Activities,Transaction 787,-286,-286,-286.0,-286.0,484
SALE00876,CUST081,2025-05-25,2023-12-30,2023-03-19,58854.659999999996,65939.7,2023-01-07,352,395.62,TXN00876,2025-05-25,Cash Inflow,45936,Operating Activities,Transaction 876,-286,-286,-286.0,-286.0,352
SALE00930,CUST081,2025-07-18,2023-12-30,2023-03-19,58854.659999999996,65939.7,2023-01-07,143,411.98,TXN00930,2025-07-18,Cash Inflow,164461,Investing Activities,Transaction 930,-286,-286,-286.0,-286.0,143
SALE00970,CUST081,2025-08-27,2023-12-30,2023-03-19,58854.659999999996,65939.7,2023-01-07,429,362.35,TXN00970,2025-08-27,Cash Inflow,155232,Financing Activities,Transaction 970,-286,-286,-286.0,-286.0,429
SALE00007,CUST090,2023-01-07,2023-07-01,2023-06-21,63180.81,51508.06,2023-07-13,460,242.05,TXN00007,2023-01-07,Cash Inflow,20810,Operating Activities,Transaction 7,-10,-10,-10.0,-10.0,460
SALE00011,CUST090,2023-01-11,2023-07-01,2023-06-21,63180.81,51508.06,2023-07-13,40,495.17,TXN00011,2023-01-11,Cash Inflow,53040,Investing Activities,Transaction 11,-10,-10,-10.0,-10.0,40
SALE00208,CUST090,2023-07-27,2023-07-01,2023-06-21,63180.81,51508.06,2023-07-13,310,172.14,TXN00208,2023-07-27,Cash Outflow,72670,Operating Activities,Transaction 208,-10,-10,-10.0,-10.0,310
SALE00228,CUST090,2023-08-16,2023-07-01,2023-06-21,63180.81,51508.06,2023-07-13,80,493.48,TXN00228,2023-08-16,Cash Outflow,60600,Investing Activities,Transaction 228,-10,-10,-10.0,-10.0,80
SALE00360,CUST090,2023-12-26,2023-07-01,2023-06-21,63180.81,51508.06,2023-07-13,470,218.02,TXN00360,2023-12-26,Cash Inflow,110410,Investing Activities,Transaction 360,-10,-10,-10.0,-10.0,470
SALE00391,CUST090,2024-01-26,2023-07-01,2023-06-21,63180.81,51508.06,2023-07-13,260,97.44,TXN00391,2024-01-26,Cash Inflow,35720,Operating Activities,Transaction 391,-10,-10,-10.0,-10.0,260
SALE00464,CUST090,2024-04-08,2023-07-01,2023-06-21,63180.81,51508.06,2023-07-13,430,88.06,TXN00464,2024-04-08,Cash Inflow,131000,Operating Activities,Transaction 464,-10,-10,-10.0,-10.0,430
SALE00564,CUST090,2024-07-17,2023-07-01,2023-06-21,63180.81,51508.06,2023-07-13,180,343.68,TXN00564,2024-07-17,Cash Inflow,160070,Financing Activities,Transaction 564,-10,-10,-10.0,-10.0,180
SALE00699,CUST090,2024-11-29,2023-07-01,2023-06-21,63180.81,51508.06,2023-07-13,380,222.56,TXN00699,2024-11-29,Cash Outflow,59290,Operating Activities,Transaction 699,-10,-10,-10.0,-10.0,380
SALE00739,CUST090,2025-01-08,2023-07-01,2023-06-21,63180.81,51508.06,2023-07-13,260,98.85,TXN00739,2025-01-08,Cash Inflow,178380,Investing Activities,Transaction 739,-10,-10,-10.0,-10.0,260
SALE00769,CUST090,2025-02-07,2023-07-01,2023-06-21,63180.81,51508.06,2023-07-13,430,385.63,TXN00769,2025-02-07,Cash Outflow,185880,Operating Activities,Transaction 769,-10,-10,-10.0,-10.0,430
SALE00820,CUST090,2025-03-30,2023-07-01,2023-06-21,63180.81,51508.06,2023-07-13,300,191.89,TXN00820,2025-03-30,Cash Inflow,85730,Operating Activities,Transaction 820,-10,-10,-10.0,-10.0,300
SALE00943,CUST090,2025-07-31,2023-07-01,2023-06-21,63180.81,51508.06,2023-07-13,430,498.57,TXN00943,2025-07-31,Cash Outflow,65820,Operating Activities,Transaction 943,-10,-10,-10.0,-10.0,430
SALE00955,CUST090,2025-08-12,2023-07-01,2023-06-21,63180.81,51508.06,2023-07-13,230,155.28,TXN00955,2025-08-12,Cash Inflow,7070,Financing Activities,Transaction 955,-10,-10,-10.0,-10.0,230
SALE00975,CUST090,2025-09-01,2023-07-01,2023-06-21,63180.81,51508.06,2023-07-13,270,310.75,TXN00975,2025-09-01,Cash Outflow,28560,Investing Activities,Transaction 975,-10,-10,-10.0,-10.0,270
SALE00008,CUST002,2023-01-08,2023-03-20,2023-01-08,43494.44,36240.490000000005,2023-05-23,7,38.38,TXN00008,2023-01-08,Cash Inflow,92239,Investing Activities,Transaction 8,-71,-71,-71.0,-71.0,7
SALE00071,CUST002,2023-03-12,2023-03-20,2023-01-08,43494.44,36240.490000000005,2023-05-23,301,283.62,TXN00071,2023-03-12,Cash Outflow,52472,Investing Activities,Transaction 71,-71,-71,-71.0,-71.0,301
SALE00314,CUST002,2023-11-10,2023-03-20,2023-01-08,43494.44,36240.490000000005,2023-05-23,98,275.76,TXN00314,2023-11-10,Cash Inflow,62223,Investing Activities,Transaction 314,-71,-71,-71.0,-71.0,98
SALE00472,CUST002,2024-04-16,2023-03-20,2023-01-08,43494.44,36240.490000000005,2023-05-23,140,259.76,TXN00472,2024-04-16,Cash Outflow,54026,Investing Activities,Transaction 472,-71,-71,-71.0,-71.0,140
SALE00690,CUST002,2024-11-20,2023-03-20,2023-01-08,43494.44,36240.490000000005,2023-05-23,294,212.57,TXN00690,2024-11-20,Cash Outflow,37135,Financing Activities,Transaction 690,-71,-71,-71.0,-71.0,294
SALE00933,CUST002,2025-07-21,2023-03-20,2023-01-08,43494.44,36240.490000000005,2023-05-23,42,484.2,TXN00933,2025-07-21,Cash Inflow,112175,Operating Activities,Transaction 933,-71,-71,-71.0,-71.0,42
SALE00954,CUST002,2025-08-11,2023-03-20,2023-01-08,43494.44,36240.490000000005,2023-05-23,217,175.05,TXN00954,2025-08-11,Cash Outflow,97265,Investing Activities,Transaction 954,-71,-71,-71.0,-71.0,217
SALE00009,CUST050,2023-01-09,2023-08-28,2023-08-24,78683.42,81790.71,2023-08-10,630,46.6,TXN00009,2023-01-09,Cash Inflow,86982,Investing Activities,Transaction 9,-4,-4,-4.0,-4.0,630
SALE00061,CUST050,2023-03-02,2023-08-28,2023-08-24,78683.42,81790.71,2023-08-10,238,400.43,TXN00061,2023-03-02,Cash Inflow,149464,Financing Activities,Transaction 61,-4,-4,-4.0,-4.0,238
SALE00150,CUST050,2023-05-30,2023-08-28,2023-08-24,78683.42,81790.71,2023-08-10,532,251.71,TXN00150,2023-05-30,Cash Outflow,241472,Financing Activities,Transaction 150,-4,-4,-4.0,-4.0,532
SALE00193,CUST050,2023-07-12,2023-08-28,2023-08-24,78683.42,81790.71,2023-08-10,518,293.91,TXN00193,2023-07-12,Cash Inflow,101332,Investing Activities,Transaction 193,-4,-4,-4.0,-4.0,518
SALE00195,CUST050,2023-07-14,2023-08-28,2023-08-24,78683.42,81790.71,2023-08-10,308,56.68,TXN00195,2023-07-14,Cash Inflow,41608,Investing Activities,Transaction 195,-4,-4,-4.0,-4.0,308
SALE00270,CUST050,2023-09-27,2023-08-28,2023-08-24,78683.42,81790.71,2023-08-10,154,65.42,TXN00270,2023-09-27,Cash Inflow,178066,Investing Activities,Transaction 270,-4,-4,-4.0,-4.0,154
SALE00275,CUST050,2023-10-02,2023-08-28,2023-08-24,78683.42,81790.71,2023-08-10,420,415.15,TXN00275,2023-10-02,Cash Inflow,56420,Financing Activities,Transaction 275,-4,-4,-4.0,-4.0,420
SALE00539,CUST050,2024-06-22,2023-08-28,2023-08-24,78683.42,81790.71,2023-08-10,448,97.11,TXN00539,2024-06-22,Cash Inflow,118888,Investing Activities,Transaction 539,-4,-4,-4.0,-4.0,448
SALE00629,CUST050,2024-09-20,2023-08-28,2023-08-24,78683.42,81790.71,2023-08-10,588,50.48,TXN00629,2024-09-20,Cash Inflow,278964,Investing Activities,Transaction 629,-4,-4,-4.0,-4.0,588
SALE00800,CUST050,2025-03-10,2023-08-28,2023-08-24,78683.42,81790.71,2023-08-10,644,319.27,TXN00800,2025-03-10,Cash Inflow,83230,Operating Activities,Transaction 800,-4,-4,-4.0,-4.0,644
SALE00010,CUST012,2023-01-10,2023-03-20,2023-07-25,64339.85,71643.98,2023-05-14,169,427.68,TXN00010,2023-01-10,Cash Outflow,222807,Financing Activities,Transaction 10,127,127,127.0,127.0,169
SALE00080,CUST012,2023-03-21,2023-03-20,2023-07-25,64339.85,71643.98,2023-05-14,208,237.65,TXN00080,2023-03-21,Cash Outflow,96733,Operating Activities,Transaction 80,127,127,127.0,127.0,208
SALE00149,CUST012,2023-05-29,2023-03-20,2023-07-25,64339.85,71643.98,2023-05-14,234,275.81,TXN00149,2023-05-29,Cash Inflow,211185,Financing Activities,Transaction 149,127,127,127.0,127.0,234
SALE00200,CUST012,2023-07-19,2023-03-20,2023-07-25,64339.85,71643.98,2023-05-14,52,14.42,TXN00200,2023-07-19,Cash Inflow,143702,Financing Activities,Transaction 200,127,127,127.0,127.0,52
SALE00260,CUST012,2023-09-17,2023-03-20,2023-07-25,64339.85,71643.98,2023-05-14,26,482.04,TXN00260,2023-09-17,Cash Inflow,23946,Operating Activities,Transaction 260,127,127,127.0,127.0,26
SALE00513,CUST012,2024-05-27,2023-03-20,2023-07-25,64339.85,71643.98,2023-05-14,130,123.95,TXN00513,2024-05-27,Cash Inflow,33878,Financing Activities,Transaction 513,127,127,127.0,127.0,130
SALE00521,CUST012,2024-06-04,2023-03-20,2023-07-25,64339.85,71643.98,2023-05-14,416,427.21,TXN00521,2024-06-04,Cash Outflow,58929,Financing Activities,Transaction 521,127,127,127.0,127.0,416
SALE00631,CUST012,2024-09-22,2023-03-20,2023-07-25,64339.85,71643.98,2023-05-14,273,450.46,TXN00631,2024-09-22,Cash Inflow,238550,Investing Activities,Transaction 631,127,127,127.0,127.0,273
SALE00965,CUST012,2025-08-22,2023-03-20,2023-07-25,64339.85,71643.98,2023-05-14,26,441.11,TXN00965,2025-08-22,Cash Inflow,206037,Operating Activities,Transaction 965,127,127,127.0,127.0,26
SALE00012,CUST023,2023-01-12,2023-09-15,2023-12-16,61594.92,46022.24,2023-11-23,11,341.27,TXN00012,2023-01-12,Cash Inflow,205942,Investing Activities,Transaction 12,92,92,92.0,92.0,11
SALE00040,CUST023,2023-02-09,2023-09-15,2023-12-16,61594.92,46022.24,2023-11-23,429,430.11,TXN00040,2023-02-09,Cash Inflow,45496,Investing Activities,Transaction 40,92,92,92.0,92.0,429
SALE00288,CUST023,2023-10-15,2023-09-15,2023-12-16,61594.92,46022.24,2023-11-23,440,328.75,TXN00288,2023-10-15,Cash Inflow,6347,Financing Activities,Transaction 288,92,92,92.0,92.0,440
SALE00459,CUST023,2024-04-03,2023-09-15,2023-12-16,61594.92,46022.24,2023-11-23,66,135.95,TXN00459,2024-04-03,Cash Inflow,186318,Operating Activities,Transaction 459,92,92,92.0,92.0,66
SALE00535,CUST023,2024-06-18,2023-09-15,2023-12-16,61594.92,46022.24,2023-11-23,517,93.63,TXN00535,2024-06-18,Cash Inflow,181368,Investing Activities,Transaction 535,92,92,92.0,92.0,517
SALE00669,CUST023,2024-10-30,2023-09-15,2023-12-16,61594.92,46022.24,2023-11-23,396,136.63,TXN00669,2024-10-30,Cash Inflow,195844,Operating Activities,Transaction 669,92,92,92.0,92.0,396
SALE00763,CUST023,2025-02-01,2023-09-15,2023-12-16,61594.92,46022.24,2023-11-23,385,69.96,TXN00763,2025-02-01,Cash Inflow,73513,Financing Activities,Transaction 763,92,92,92.0,92.0,385
SALE00849,CUST023,2025-04-28,2023-09-15,2023-12-16,61594.92,46022.24,2023-11-23,220,474.05,TXN00849,2025-04-28,Cash Inflow,134442,Operating Activities,Transaction 849,92,92,92.0,92.0,220
SALE00856,CUST023,2025-05-05,2023-09-15,2023-12-16,61594.92,46022.24,2023-11-23,286,345.04,TXN00856,2025-05-05,Cash Inflow,182963,Investing Activities,Transaction 856,92,92,92.0,92.0,286
SALE00899,CUST023,2025-06-17,2023-09-15,2023-12-16,61594.92,46022.24,2023-11-23,165,148.39,TXN00899,2025-06-17,Cash Inflow,106788,Financing Activities,Transaction 899,92,92,92.0,92.0,165
SALE00983,CUST023,2025-09-09,2023-09-15,2023-12-16,61594.92,46022.24,2023-11-23,495,372.25,TXN00983,2025-09-09,Cash Outflow,178321,Financing Activities,Transaction 983,92,92,92.0,92.0,495
SALE00013,CUST018,2023-01-13,2023-12-18,2023-07-23,55292.41,58203.32,2023-10-19,539,228.52,TXN00013,2023-01-13,Cash Inflow,116996,Financing Activities,Transaction 13,-148,-148,-148.0,-148.0,539
SALE00070,CUST018,2023-03-11,2023-12-18,2023-07-23,55292.41,58203.32,2023-10-19,143,131.29,TXN00070,2023-03-11,Cash Outflow,19272,Operating Activities,Transaction 70,-148,-148,-148.0,-148.0,143
SALE00161,CUST018,2023-06-10,2023-12-18,2023-07-23,55292.41,58203.32,2023-10-19,286,318.09,TXN00161,2023-06-10,Cash Inflow,22341,Financing Activities,Transaction 161,-148,-148,-148.0,-148.0,286
