SaleID,CustomerID,SaleDate,SaleAmount,ProductID,QuantitySold,UnitPrice,TotalValue,PaymentMethod,SaleStatus
SALE00281,CUST084,2023-10-08,5349,PROD0310,11,165.87,1824.5700000000002,Credit Card,Completed
SALE00483,CUST085,2024-04-27,2833,PROD0215,13,204.62,2660.06,Bank Transfer,Pending
SALE00785,CUST063,2025-02-23,5261,PROD0334,45,353.12,15890.4,Cash,Pending
SALE00028,CUST021,2023-01-28,1284,PROD0221,30,268.24,8047.200000000001,Credit Card,Completed
SALE00441,CUST013,2024-03-16,7783,PROD0374,41,379.87,15574.67,Cash,Completed
SALE00514,CUST097,2024-05-28,3050,PROD0435,10,49.18,491.8,Cash,Completed
SALE00816,CUST016,2025-03-26,1640,PROD0468,49,145.1,7109.9,Cash,Completed
SALE00289,CUST011,2023-10-16,5031,PROD0343,22,384.94,8468.68,Bank Transfer,Completed
SALE00465,CUST059,2024-04-09,5188,PROD0089,22,40.92,900.24,Bank Transfer,Pending
SALE00578,CUST099,2024-07-31,11967,PROD0016,37,83.13,3075.81,Bank Transfer,Completed
SALE00631,CUST012,2024-09-22,11251,PROD0426,21,450.46,9459.66,Credit Card,Completed
SALE00424,CUST003,2024-02-28,3536,PROD0098,1,323.68,323.68,Bank Transfer,Completed
SALE00147,CUST051,2023-05-27,3199,PROD0386,47,330.1,15514.7,Cash,Completed
SALE00659,CUST070,2024-10-20,8627,PROD0135,49,90.21,4420.29,Cash,Completed
SALE00029,CUST013,2023-01-29,4655,PROD0356,30,414.7,12441.0,Credit Card,Pending
SALE00394,CUST054,2024-01-29,12083,PROD0456,12,111.03,1332.3600000000001,Bank Transfer,Completed
SALE00194,CUST020,2023-07-13,7674,PROD0276,33,334.68,11044.44,Bank Transfer,Completed
SALE00156,CUST014,2023-06-05,11937,PROD0381,10,421.82,4218.2,Credit Card,Completed
SALE00326,CUST099,2023-11-22,8780,PROD0247,14,375.97,5263.58,Bank Transfer,Completed
SALE00005,CUST080,2023-01-05,5291,PROD0285,14,387.78,5428.92,Credit Card,Completed
SALE00186,CUST022,2023-07-05,2890,PROD0073,41,261.18,10708.380000000001,Bank Transfer,Pending
SALE00258,CUST020,2023-09-15,12951,PROD0452,10,86.52,865.1999999999999,Credit Card,Pending
SALE00175,CUST054,2023-06-24,9162,PROD0363,36,149.09,5367.24,Cash,Pending
SALE00102,CUST048,2023-04-12,11634,PROD0129,5,442.44,2212.2,Credit Card,Completed
SALE00815,CUST092,2025-03-25,9509,PROD0480,30,27.78,833.4000000000001,Cash,Completed
SALE00724,CUST063,2024-12-24,2886,PROD0266,18,380.57,6850.26,Bank Transfer,Completed
SALE00213,CUST037,2023-08-01,13183,PROD0156,31,298.06,9239.86,Cash,Pending
SALE00567,CUST036,2024-07-20,6899,PROD0434,47,168.52,7920.4400000000005,Cash,Pending
SALE00080,CUST012,2023-03-21,10247,PROD0339,16,237.65,3802.4,Bank Transfer,Pending
SALE00545,CUST099,2024-06-28,10007,PROD0236,16,118.19,1891.04,Credit Card,Pending
SALE00163,CUST055,2023-06-12,8254,PROD0361,25,386.18,9654.5,Credit Card,Pending
SALE00725,CUST054,2024-12-25,1222,PROD0348,25,422.57,10564.25,Credit Card,Pending
SALE00159,CUST011,2023-06-08,14534,PROD0298,39,213.79,8337.81,Credit Card,Pending
SALE00719,CUST055,2024-12-19,11757,PROD0413,37,418.01,15466.369999999999,Bank Transfer,Completed
SALE00583,CUST082,2024-08-05,8408,PROD0031,44,407.24,17918.56,Bank Transfer,Completed
SALE00958,CUST027,2025-08-15,9089,PROD0134,32,382.2,12230.4,Bank Transfer,Completed
SALE00652,CUST052,2024-10-13,9923,PROD0180,26,31.43,817.18,Credit Card,Completed
SALE00040,CUST023,2023-02-09,2847,PROD0070,39,430.11,16774.29,Cash,Pending
SALE00642,CUST021,2024-10-03,10362,PROD0405,45,448.95,20202.75,Cash,Pending
SALE00428,CUST059,2024-03-03,3454,PROD0390,26,123.11,3200.86,Credit Card,Pending
SALE00614,CUST005,2024-09-05,1779,PROD0087,11,61.63,677.9300000000001,Credit Card,Pending
SALE00682,CUST055,2024-11-12,4013,PROD0172,9,366.69,3300.21,Bank Transfer,Pending
SALE00333,CUST095,2023-11-29,4836,PROD0423,7,477.78,3344.46,Cash,Pending
SALE00520,CUST062,2024-06-03,12139,PROD0246,28,146.1,4090.7999999999997,Bank Transfer,Pending
SALE00949,CUST042,2025-08-06,5813,PROD0303,38,24.39,926.82,Credit Card,Pending
SALE00767,CUST047,2025-02-05,11869,PROD0428,3,40.65,121.94999999999999,Bank Transfer,Pending
SALE00823,CUST066,2025-04-02,9680,PROD0496,37,141.39,5231.429999999999,Bank Transfer,Pending
SALE00586,CUST097,2024-08-08,1250,PROD0017,44,202.27,8899.880000000001,Bank Transfer,Pending
SALE00689,CUST059,2024-11-19,3473,PROD0055,40,177.77,7110.8,Credit Card,Pending
SALE00863,CUST073,2025-05-12,10288,PROD0374,47,278.93,13109.710000000001,Credit Card,Completed
SALE00178,CUST083,2023-06-27,306,PROD0336,34,238.25,8100.5,Credit Card,Pending
SALE00455,CUST024,2024-03-30,14156,PROD0427,44,386.61,17010.84,Cash,Completed
SALE00030,CUST027,2023-01-30,3485,PROD0022,17,156.2,2655.3999999999996,Cash,Pending
SALE00923,CUST075,2025-07-11,12477,PROD0134,32,449.62,14387.84,Credit Card,Pending
SALE00088,CUST067,2023-03-29,13517,PROD0130,3,454.83,1364.49,Cash,Completed
SALE00803,CUST032,2025-03-13,7156,PROD0315,29,455.6,13212.400000000001,Credit Card,Completed
SALE00913,CUST058,2025-07-01,5163,PROD0236,6,163.05,978.3000000000001,Cash,Pending
SALE00454,CUST017,2024-03-29,14534,PROD0140,43,371.22,15962.460000000001,Bank Transfer,Completed
SALE00920,CUST098,2025-07-08,9437,PROD0409,17,91.36,1553.12,Cash,Completed
SALE00847,CUST043,2025-04-26,11814,PROD0319,4,175.75,703.0,Bank Transfer,Pending
SALE00382,CUST089,2024-01-17,2657,PROD0397,20,406.67,8133.400000000001,Credit Card,Pending
SALE00779,CUST078,2025-02-17,11514,PROD0345,22,372.59,8196.98,Credit Card,Completed
SALE00776,CUST004,2025-02-14,5688,PROD0473,49,346.1,16958.9,Cash,Completed
SALE00290,CUST064,2023-10-17,3610,PROD0104,29,463.58,13443.82,Credit Card,Pending
SALE00607,CUST026,2024-08-29,9762,PROD0255,4,494.25,1977.0,Cash,Completed
SALE00603,CUST034,2024-08-25,3443,PROD0292,9,445.8,4012.2000000000003,Credit Card,Pending
SALE00142,CUST028,2023-05-22,12766,PROD0369,3,437.2,1311.6,Credit Card,Pending
SALE00511,CUST032,2024-05-25,8816,PROD0079,3,244.33,732.99,Cash,Completed
SALE00681,CUST053,2024-11-11,13579,PROD0450,2,274.38,548.76,Credit Card,Completed
SALE00064,CUST089,2023-03-05,10333,PROD0298,20,484.08,9681.6,Credit Card,Pending
SALE00031,CUST100,2023-01-31,12409,PROD0180,48,421.57,20235.36,Cash,Completed
SALE00242,CUST027,2023-08-30,3848,PROD0217,47,18.52,870.4399999999999,Cash,Pending
SALE00948,CUST048,2025-08-05,12777,PROD0371,27,55.58,1500.6599999999999,Credit Card,Completed
SALE00104,CUST086,2023-04-14,7729,PROD0375,12,414.01,4968.12,Credit Card,Pending
SALE00813,CUST059,2025-03-23,7038,PROD0137,5,148.55,742.75,Credit Card,Pending
SALE00797,CUST061,2025-03-07,6901,PROD0190,32,223.24,7143.68,Bank Transfer,Completed
SALE00252,CUST095,2023-09-09,3404,PROD0480,3,80.34,241.02,Credit Card,Pending
SALE00604,CUST067,2024-08-26,13600,PROD0018,22,230.8,5077.6,Bank Transfer,Pending
SALE00789,CUST019,2025-02-27,11586,PROD0279,35,465.51,16292.85,Credit Card,Pending
SALE00910,CUST025,2025-06-28,1453,PROD0173,48,184.77,8868.960000000001,Bank Transfer,Completed
SALE00315,CUST031,2023-11-11,7198,PROD0285,32,476.22,15239.04,Credit Card,Completed
SALE00668,CUST086,2024-10-29,10223,PROD0443,33,440.84,14547.72,Credit Card,Completed
SALE00557,CUST056,2024-07-10,5322,PROD0478,23,199.67,4592.41,Credit Card,Completed
SALE00917,CUST078,2025-07-05,767,PROD0282,28,264.89,7416.92,Cash,Completed
SALE00895,CUST014,2025-06-13,1356,PROD0127,34,283.41,9635.94,Bank Transfer,Pending
SALE00580,CUST028,2024-08-02,14362,PROD0047,30,433.68,13010.4,Cash,Pending
SALE00264,CUST042,2023-09-21,1736,PROD0479,20,193.41,3868.2,Cash,Completed
SALE00096,CUST075,2023-04-06,261,PROD0302,28,113.07,3165.96,Credit Card,Pending
SALE00989,CUST037,2025-09-15,12905,PROD0038,7,331.09,2317.6299999999997,Cash,Pending
SALE00644,CUST084,2024-10-05,6765,PROD0247,26,71.36,1855.36,Bank Transfer,Completed
SALE00033,CUST022,2023-02-02,13135,PROD0367,23,122.73,2822.79,Bank Transfer,Completed
SALE00039,CUST096,2023-02-08,2147,PROD0038,11,455.67,5012.37,Bank Transfer,Pending
SALE00540,CUST037,2024-06-23,1248,PROD0230,24,348.89,8373.36,Credit Card,Pending
SALE00057,CUST079,2023-02-26,14602,PROD0278,5,85.29,426.45000000000005,Credit Card,Pending
SALE00202,CUST020,2023-07-21,13571,PROD0408,11,303.37,3337.07,Credit Card,Completed
SALE00953,CUST004,2025-08-10,1938,PROD0135,45,486.99,21914.55,Bank Transfer,Completed
SALE00585,CUST040,2024-08-07,2938,PROD0421,22,431.19,9486.18,Credit Card,Pending
SALE00348,CUST017,2023-12-14,8915,PROD0058,27,205.95,5560.65,Cash,Pending
SALE00929,CUST007,2025-07-17,5064,PROD0363,27,368.99,9962.73,Bank Transfer,Completed
SALE00316,CUST011,2023-11-12,14343,PROD0326,38,425.11,16154.18,Credit Card,Completed
SALE00188,CUST047,2023-07-07,8855,PROD0346,6,43.88,263.28000000000003,Credit Card,Completed
SALE00214,CUST049,2023-08-02,13439,PROD0340,6,474.81,2848.86,Bank Transfer,Completed
SALE00385,CUST013,2024-01-20,2300,PROD0086,40,217.73,8709.199999999999,Credit Card,Pending
SALE00755,CUST031,2025-01-24,14023,PROD0334,35,83.01,2905.3500000000004,Cash,Pending
SALE00220,CUST072,2023-08-08,1763,PROD0110,15,271.42,4071.3,Bank Transfer,Pending
SALE00598,CUST076,2024-08-20,659,PROD0203,40,414.31,16572.4,Bank Transfer,Completed
SALE00160,CUST061,2023-06-09,2831,PROD0296,22,424.66,9342.52,Cash,Completed
SALE00825,CUST003,2025-04-04,1465,PROD0410,48,428.01,20544.48,Cash,Completed
SALE00800,CUST050,2025-03-10,7341,PROD0334,46,319.27,14686.419999999998,Bank Transfer,Completed
SALE00898,CUST073,2025-06-16,13554,PROD0080,9,178.39,1605.5099999999998,Bank Transfer,Pending
SALE00239,CUST059,2023-08-27,5630,PROD0445,20,204.72,4094.4,Bank Transfer,Pending
SALE00332,CUST065,2023-11-28,11211,PROD0075,3,44.93,134.79,Credit Card,Pending
SALE00401,CUST059,2024-02-05,4593,PROD0026,47,302.55,14219.85,Credit Card,Pending
SALE00257,CUST094,2023-09-14,6685,PROD0453,23,368.11,8466.53,Bank Transfer,Completed
SALE00988,CUST052,2025-09-14,8275,PROD0249,30,91.89,2756.7,Cash,Pending
SALE00020,CUST067,2023-01-20,869,PROD0045,39,411.2,16036.8,Credit Card,Completed
SALE00167,CUST075,2023-06-16,13873,PROD0421,25,298.15,7453.749999999999,Cash,Pending
SALE00721,CUST040,2024-12-21,2604,PROD0367,6,377.28,2263.68,Cash,Pending
SALE00297,CUST039,2023-10-24,2427,PROD0245,35,155.47,5441.45,Cash,Completed
SALE00086,CUST061,2023-03-27,11753,PROD0372,3,380.96,1142.8799999999999,Bank Transfer,Completed
SALE00225,CUST008,2023-08-13,10529,PROD0398,2,283.49,566.98,Credit Card,Completed
SALE00868,CUST067,2025-05-17,1631,PROD0193,20,79.07,1581.3999999999999,Cash,Pending
SALE00505,CUST044,2024-05-19,2906,PROD0208,38,416.37,15822.06,Credit Card,Pending
SALE00364,CUST077,2023-12-30,9974,PROD0163,15,267.98,4019.7000000000003,Credit Card,Completed
SALE00565,CUST049,2024-07-18,7179,PROD0467,2,102.95,205.9,Credit Card,Completed
SALE00360,CUST090,2023-12-26,7258,PROD0435,47,218.02,10246.94,Cash,Pending
SALE00259,CUST053,2023-09-16,1391,PROD0149,44,124.94,5497.36,Cash,Pending
SALE00124,CUST068,2023-05-04,5376,PROD0386,1,310.01,310.01,Bank Transfer,Pending
SALE00139,CUST011,2023-05-19,14086,PROD0195,26,171.22,4451.72,Credit Card,Pending
SALE00906,CUST030,2025-06-24,8762,PROD0028,15,226.13,3391.95,Bank Transfer,Pending
SALE00524,CUST062,2024-06-07,10993,PROD0087,8,305.25,2442.0,Cash,Completed
SALE00495,CUST053,2024-05-09,12349,PROD0467,40,119.57,4782.799999999999,Bank Transfer,Pending
SALE00874,CUST063,2025-05-23,13528,PROD0440,24,377.15,9051.599999999999,Cash,Pending
SALE00430,CUST093,2024-03-05,325,PROD0372,36,103.26,3717.36,Credit Card,Completed
SALE00814,CUST080,2025-03-24,2781,PROD0232,1,31.85,31.85,Credit Card,Completed
SALE00293,CUST094,2023-10-20,4318,PROD0206,41,440.17,18046.97,Credit Card,Pending
SALE00939,CUST016,2025-07-27,6232,PROD0405,33,247.83,8178.39,Credit Card,Pending
SALE00407,CUST067,2024-02-11,13803,PROD0020,48,177.13,8502.24,Bank Transfer,Pending
SALE00136,CUST083,2023-05-16,5718,PROD0493,24,328.64,7887.36,Cash,Pending
SALE00638,CUST089,2024-09-29,13700,PROD0155,12,137.75,1653.0,Credit Card,Completed
SALE00443,CUST042,2024-03-18,13603,PROD0376,25,210.64,5266.0,Cash,Completed
SALE00709,CUST095,2024-12-09,9808,PROD0042,47,162.36,7630.920000000001,Credit Card,Pending
SALE00527,CUST095,2024-06-10,6714,PROD0007,24,286.58,6877.92,Cash,Completed
SALE00529,CUST097,2024-06-12,13503,PROD0337,8,113.76,910.08,Bank Transfer,Pending
SALE00851,CUST094,2025-04-30,9535,PROD0114,45,99.68,4485.6,Bank Transfer,Pending
SALE00355,CUST081,2023-12-21,12015,PROD0340,10,100.45,1004.5,Cash,Completed
SALE00869,CUST011,2025-05-18,11732,PROD0051,49,335.45,16437.05,Cash,Completed
SALE00380,CUST068,2024-01-15,8545,PROD0171,27,427.08,11531.16,Credit Card,Completed
SALE00374,CUST099,2024-01-09,12974,PROD0260,27,453.89,12255.029999999999,Credit Card,Completed
SALE00235,CUST062,2023-08-23,9574,PROD0022,4,53.39,213.56,Bank Transfer,Completed
SALE00085,CUST096,2023-03-26,1121,PROD0187,25,331.92,8298.0,Bank Transfer,Pending
SALE00231,CUST084,2023-08-19,6876,PROD0454,44,35.33,1554.52,Credit Card,Completed
SALE00404,CUST092,2024-02-08,4087,PROD0077,12,228.44,2741.2799999999997,Credit Card,Pending
SALE00141,CUST055,2023-05-21,14724,PROD0283,7,374.7,2622.9,Credit Card,Completed
SALE00675,CUST052,2024-11-05,2838,PROD0196,17,283.33,4816.61,Credit Card,Completed
SALE00004,CUST079,2023-01-04,13518,PROD0500,21,91.53,1922.13,Bank Transfer,Pending
SALE00460,CUST046,2024-04-04,401,PROD0309,24,396.07,9505.68,Cash,Completed
SALE00684,CUST056,2024-11-14,7823,PROD0134,40,345.8,13832.0,Credit Card,Pending
SALE00466,CUST013,2024-04-10,9431,PROD0381,26,67.65,1758.9,Bank Transfer,Completed
SALE00730,CUST022,2024-12-30,2243,PROD0396,45,325.25,14636.25,Cash,Pending
SALE00190,CUST093,2023-07-09,12483,PROD0010,34,57.72,1962.48,Credit Card,Completed
SALE00195,CUST050,2023-07-14,6474,PROD0039,22,56.68,1246.96,Credit Card,Completed
SALE00423,CUST010,2024-02-27,14665,PROD0294,23,44.27,1018.21,Cash,Completed
SALE00409,CUST003,2024-02-13,1318,PROD0211,5,305.58,1527.8999999999999,Bank Transfer,Completed
SALE00250,CUST037,2023-09-07,14019,PROD0195,13,71.61,930.93,Bank Transfer,Pending
SALE00462,CUST008,2024-04-06,706,PROD0208,49,308.16,15099.840000000002,Credit Card,Pending
SALE00552,CUST083,2024-07-05,14699,PROD0427,18,330.5,5949.0,Bank Transfer,Pending
SALE00480,CUST082,2024-04-24,669,PROD0348,7,287.62,2013.3400000000001,Bank Transfer,Pending
SALE00227,CUST040,2023-08-15,13796,PROD0128,11,26.75,294.25,Cash,Completed
SALE00451,CUST001,2024-03-26,1169,PROD0154,34,68.72,2336.48,Cash,Completed
SALE00038,CUST004,2023-02-07,7949,PROD0403,2,368.32,736.64,Bank Transfer,Completed
SALE00304,CUST026,2023-10-31,11874,PROD0438,4,278.76,1115.04,Bank Transfer,Completed
SALE00577,CUST058,2024-07-30,14198,PROD0413,5,140.35,701.75,Bank Transfer,Completed
SALE00456,CUST058,2024-03-31,1160,PROD0051,24,129.39,3105.3599999999997,Cash,Pending
SALE00403,CUST038,2024-02-07,5011,PROD0299,43,226.93,9757.99,Bank Transfer,Pending
SALE00490,CUST015,2024-05-04,3109,PROD0313,49,113.87,5579.63,Credit Card,Completed
SALE00526,CUST043,2024-06-09,6102,PROD0490,3,199.37,598.11,Bank Transfer,Completed
SALE00804,CUST036,2025-03-14,11616,PROD0444,44,392.3,17261.2,Bank Transfer,Completed
SALE00433,CUST052,2024-03-08,7122,PROD0426,40,187.84,7513.6,Bank Transfer,Completed
SALE00627,CUST087,2024-09-18,13345,PROD0254,12,43.67,524.04,Cash,Pending
SALE00762,CUST049,2025-01-31,2602,PROD0425,24,193.0,4632.0,Bank Transfer,Completed
SALE00775,CUST018,2025-02-13,11230,PROD0369,15,97.34,1460.1000000000001,Credit Card,Completed
SALE00288,CUST023,2023-10-15,14682,PROD0372,40,328.75,13150.0,Cash,Pending
SALE00473,CUST082,2024-04-17,3427,PROD0075,41,414.39,16989.989999999998,Credit Card,Completed
SALE00351,CUST079,2023-12-17,13268,PROD0129,22,266.02,5852.44,Bank Transfer,Pending
SALE00072,CUST008,2023-03-13,7199,PROD0478,43,120.51,5181.93,Cash,Pending
SALE00733,CUST080,2025-01-02,7457,PROD0077,32,77.53,2480.96,Credit Card,Completed
SALE00362,CUST085,2023-12-28,7500,PROD0131,45,409.72,18437.4,Credit Card,Pending
SALE00765,CUST034,2025-02-03,2882,PROD0113,45,125.57,5650.65,Cash,Completed
SALE00760,CUST086,2025-01-29,4271,PROD0102,14,414.31,5800.34,Credit Card,Pending
SALE00678,CUST061,2024-11-08,5487,PROD0093,34,166.83,5672.22,Bank Transfer,Pending
SALE00643,CUST089,2024-10-04,5981,PROD0332,17,167.89,2854.1299999999997,Credit Card,Completed
SALE00806,CUST070,2025-03-16,1642,PROD0441,44,38.07,1675.08,Bank Transfer,Pending
SALE00009,CUST050,2023-01-09,6365,PROD0319,45,46.6,2097.0,Credit Card,Completed
SALE00037,CUST079,2023-02-06,2658,PROD0499,14,25.34,354.76,Cash,Completed
SALE00354,CUST013,2023-12-20,14689,PROD0413,5,401.89,2009.4499999999998,Cash,Completed
SALE00023,CUST001,2023-01-23,7049,PROD0034,3,87.88,263.64,Bank Transfer,Pending
SALE00255,CUST079,2023-09-12,1953,PROD0400,10,89.57,895.6999999999999,Bank Transfer,Pending
SALE00563,CUST086,2024-07-16,4242,PROD0253,29,295.25,8562.25,Cash,Pending
SALE00959,CUST079,2025-08-16,7509,PROD0347,43,494.15,21248.45,Bank Transfer,Completed
SALE00350,CUST015,2023-12-16,11935,PROD0111,4,413.36,1653.44,Bank Transfer,Completed
SALE00926,CUST021,2025-07-14,7583,PROD0064,40,303.08,12123.199999999999,Cash,Pending
SALE00011,CUST090,2023-01-11,13626,PROD0386,4,495.17,1980.68,Bank Transfer,Completed
SALE00570,CUST052,2024-07-23,735,PROD0299,11,107.44,1181.84,Cash,Pending
SALE00589,CUST072,2024-08-11,9304,PROD0430,10,60.05,600.5,Credit Card,Completed
SALE00135,CUST048,2023-05-15,5358,PROD0331,14,300.71,4209.94,Bank Transfer,Pending
SALE00371,CUST083,2024-01-06,9988,PROD0276,12,326.84,3922.08,Cash,Pending
SALE00053,CUST070,2023-02-22,3990,PROD0343,15,276.18,4142.7,Cash,Pending
SALE00412,CUST022,2024-02-16,11396,PROD0435,42,388.59,16320.779999999999,Credit Card,Completed
SALE00396,CUST039,2024-01-31,14092,PROD0200,13,135.87,1766.31,Cash,Pending
SALE00262,CUST017,2023-09-19,7654,PROD0462,40,334.2,13368.0,Bank Transfer,Completed
SALE00965,CUST012,2025-08-22,12761,PROD0021,2,441.11,882.22,Bank Transfer,Pending
SALE00950,CUST076,2025-08-07,7126,PROD0168,7,413.25,2892.75,Cash,Pending
SALE00322,CUST064,2023-11-18,11511,PROD0325,17,130.57,2219.69,Bank Transfer,Completed
SALE00051,CUST063,2023-02-20,11494,PROD0005,33,285.75,9429.75,Bank Transfer,Completed
SALE00810,CUST079,2025-03-20,6413,PROD0155,25,462.09,11552.25,Bank Transfer,Completed
SALE00246,CUST073,2023-09-03,2098,PROD0164,38,134.57,5113.66,Credit Card,Completed
SALE00751,CUST015,2025-01-20,4592,PROD0195,18,305.05,5490.900000000001,Credit Card,Completed
SALE00620,CUST035,2024-09-11,12337,PROD0200,41,485.67,19912.47,Bank Transfer,Pending
SALE00012,CUST023,2023-01-12,4526,PROD0406,1,341.27,341.27,Bank Transfer,Pending
SALE00878,CUST083,2025-05-27,13072,PROD0439,38,184.43,7008.34,Cash,Pending
SALE00819,CUST045,2025-03-29,5641,PROD0068,14,487.67,6827.38,Bank Transfer,Completed
SALE00400,CUST032,2024-02-04,7044,PROD0115,33,144.52,4769.160000000001,Credit Card,Pending
SALE00238,CUST045,2023-08-26,5675,PROD0336,33,347.22,11458.26,Cash,Completed
SALE00860,CUST015,2025-05-09,10250,PROD0026,6,207.95,1247.6999999999998,Cash,Pending
SALE00581,CUST001,2024-08-03,9661,PROD0251,9,129.3,1163.7,Cash,Completed
SALE00927,CUST086,2025-07-15,639,PROD0343,34,26.36,896.24,Credit Card,Pending
SALE00300,CUST036,2023-10-27,7877,PROD0273,5,318.8,1594.0,Bank Transfer,Completed
SALE00100,CUST075,2023-04-10,14705,PROD0107,6,45.48,272.88,Credit Card,Completed
SALE00890,CUST003,2025-06-08,9542,PROD0177,28,89.19,2497.3199999999997,Bank Transfer,Completed
SALE00740,CUST013,2025-01-09,14652,PROD0340,21,199.96,4199.16,Credit Card,Completed
SALE00399,CUST077,2024-02-03,5799,PROD0240,25,79.47,1986.75,Cash,Completed
SALE00741,CUST017,2025-01-10,3014,PROD0175,22,207.14,4557.08,Credit Card,Pending
