SaleID,Customer ID,SaleDate,Invoice Date,Payment Date,Invoice Amount,Payment Amount,Due Date,Invoice Amount,QuantitySold,UnitPrice,TransactionID,TransactionDate,TransactionType,Amount,Category,Description
SALE00037,CUST079,2023-02-06,2023-09-11,2023-01-24,26711.420000000002,20850.58,2023-07-19,26711.420000000002,84,25.34,TXN00037,2023-02-06,Cash Outflow,38934,Investing Activities,Transaction 37
SALE00038,CUST004,2023-02-07,2023-05-22,2023-04-08,91738.51,71592.7,2023-02-28,91738.51,28,368.32,TXN00038,2023-02-07,Cash Inflow,218484,Operating Activities,Transaction 38
SALE00039,CUST096,2023-02-08,2023-02-02,2023-04-10,98274.66,96684.33,2023-05-11,98274.66,187,455.67,TXN00039,2023-02-08,Cash Inflow,311848,Operating Activities,Transaction 39
SALE00040,CUST023,2023-02-09,2023-09-15,2023-12-16,61594.92,46022.24,2023-11-23,61594.92,429,430.11,TXN00040,2023-02-09,Cash Inflow,45496,Investing Activities,Transaction 40
SALE00041,CUST070,2023-02-10,2023-02-15,2023-11-06,65922.88,54766.74,2023-04-21,65922.88,380,482.62,TXN00041,2023-02-10,Cash Inflow,114160,Investing Activities,Transaction 41
SALE00042,CUST088,2023-02-11,2023-11-07,2023-08-29,93185.69,80130.38,2023-08-10,93185.69,612,382.45,TXN00042,2023-02-11,Cash Inflow,95562,Operating Activities,Transaction 42
SALE00043,CUST084,2023-02-12,2023-04-11,2023-02-21,38249.73,47072.64,2023-05-13,38249.73,266,226.73,TXN00043,2023-02-12,Cash Outflow,97692,Financing Activities,Transaction 43
SALE00044,CUST084,2023-02-13,2023-04-11,2023-02-21,38249.73,47072.64,2023-05-13,38249.73,238,162.86,TXN00044,2023-02-13,Cash Outflow,111608,Investing Activities,Transaction 44
SALE00045,CUST076,2023-02-14,2023-04-29,2023-06-02,61813.47,57332.7,2023-10-20,61813.47,180,167.16,TXN00045,2023-02-14,Cash Outflow,64970,Financing Activities,Transaction 45
SALE00046,CUST033,2023-02-15,2023-09-27,2023-03-13,38304.8,42288.35,2023-10-23,38304.8,240,364.97,TXN00046,2023-02-15,Cash Outflow,20384,Operating Activities,Transaction 46
SALE00047,CUST028,2023-02-16,2023-09-12,2023-06-23,40126.62,49207.75,2023-01-11,40126.62,165,375.46,TXN00047,2023-02-16,Cash Outflow,141218,Investing Activities,Transaction 47
SALE00048,CUST008,2023-02-17,2023-09-15,2023-08-07,78145.97,68514.32,2023-07-07,78145.97,351,108.18,TXN00048,2023-02-17,Cash Inflow,228800,Financing Activities,Transaction 48
SALE00049,CUST001,2023-02-18,2023-01-19,2023-11-15,34792.41,34519.6,2023-09-16,34792.41,374,435.38,TXN00049,2023-02-18,Cash Outflow,55484,Investing Activities,Transaction 49
SALE00050,CUST037,2023-02-19,2023-01-09,2023-12-05,39262.39,38088.11,2023-01-18,39262.39,266,360.31,TXN00050,2023-02-19,Cash Outflow,38332,Operating Activities,Transaction 50
SALE00051,CUST063,2023-02-20,2023-06-25,2023-07-06,18569.989999999998,27450.88,2023-09-13,18569.989999999998,198,285.75,TXN00051,2023-02-20,Cash Inflow,79650,Financing Activities,Transaction 51
SALE00052,CUST022,2023-02-21,2023-02-07,2023-06-02,45090.32,47396.95,2023-04-15,45090.32,192,241.05,TXN00052,2023-02-21,Cash Outflow,84120,Operating Activities,Transaction 52
SALE00053,CUST070,2023-02-22,2023-02-15,2023-11-06,65922.88,54766.74,2023-04-21,65922.88,150,276.18,TXN00053,2023-02-22,Cash Inflow,39190,Operating Activities,Transaction 53
SALE00054,CUST021,2023-02-23,2023-04-02,2023-10-16,89729.16,79997.27,2023-07-09,89729.16,450,88.03,TXN00054,2023-02-23,Cash Outflow,223950,Investing Activities,Transaction 54
SALE00055,CUST096,2023-02-24,2023-02-02,2023-04-10,98274.66,96684.33,2023-05-11,98274.66,714,109.81,TXN00055,2023-02-24,Cash Inflow,131563,Financing Activities,Transaction 55
SALE00056,CUST035,2023-02-25,2023-04-08,2023-10-21,55332.61,47434.53,2023-10-16,55332.61,170,54.67,TXN00056,2023-02-25,Cash Outflow,149890,Operating Activities,Transaction 56
SALE00057,CUST079,2023-02-26,2023-09-11,2023-01-24,26711.420000000002,20850.58,2023-07-19,26711.420000000002,30,85.29,TXN00057,2023-02-26,Cash Outflow,102798,Operating Activities,Transaction 57
SALE00058,CUST005,2023-02-27,2023-04-30,2023-06-24,40888.37,61127.29,2023-04-05,40888.37,261,232.31,TXN00058,2023-02-27,Cash Inflow,97713,Financing Activities,Transaction 58
SALE00059,CUST060,2023-02-28,2023-08-27,2023-01-11,52121.03,56456.240000000005,2023-03-24,52121.03,36,269.87,TXN00059,2023-02-28,Cash Inflow,158886,Operating Activities,Transaction 59
SALE00060,CUST046,2023-03-01,2023-09-06,2023-12-07,26529.85,30986.059999999998,2023-12-20,26529.85,70,18.75,TXN00060,2023-03-01,Cash Inflow,34041,Operating Activities,Transaction 60
SALE00061,CUST050,2023-03-02,2023-08-28,2023-08-24,78683.42,81790.71,2023-08-10,78683.42,238,400.43,TXN00061,2023-03-02,Cash Inflow,149464,Financing Activities,Transaction 61
SALE00062,CUST048,2023-03-03,2023-04-02,2023-08-19,60478.92,56313.81,2023-03-03,60478.92,110,154.14,TXN00062,2023-03-03,Cash Inflow,197571,Financing Activities,Transaction 62
SALE00063,CUST006,2023-03-04,2023-04-11,2023-05-13,28230.760000000002,31346.010000000002,2023-08-06,28230.760000000002,136,456.8,TXN00063,2023-03-04,Cash Inflow,71416,Financing Activities,Transaction 63
SALE00064,CUST089,2023-03-05,2023-11-25,2023-10-06,42695.1,24343.09,2023-02-14,42695.1,120,484.08,TXN00064,2023-03-05,Cash Inflow,54480,Financing Activities,Transaction 64
SALE00065,CUST056,2023-03-06,2023-02-01,2023-01-31,45588.270000000004,45956.3,2023-06-03,45588.270000000004,168,100.87,TXN00065,2023-03-06,Cash Inflow,37506,Investing Activities,Transaction 65
SALE00066,CUST059,2023-03-07,2023-03-16,2023-12-04,61055.39,62485.46,2023-11-16,61055.39,55,236.43,TXN00066,2023-03-07,Cash Outflow,115940,Financing Activities,Transaction 66
SALE00067,CUST029,2023-03-08,2023-02-08,2023-08-10,29938.3,37134.09,2023-07-21,29938.3,272,10.6,TXN00067,2023-03-08,Cash Outflow,157584,Investing Activities,Transaction 67
SALE00068,CUST071,2023-03-09,2023-07-21,2023-11-06,47666.2,52730.51,2023-12-14,47666.2,60,303.18,TXN00068,2023-03-09,Cash Inflow,157540,Investing Activities,Transaction 68
SALE00069,CUST077,2023-03-10,2023-03-13,2023-05-07,54351.72,47617.9,2023-08-06,54351.72,16,307.58,TXN00069,2023-03-10,Cash Outflow,95760,Investing Activities,Transaction 69
SALE00070,CUST018,2023-03-11,2023-12-18,2023-07-23,55292.41,58203.32,2023-10-19,55292.41,143,131.29,TXN00070,2023-03-11,Cash Outflow,19272,Operating Activities,Transaction 70
SALE00071,CUST002,2023-03-12,2023-03-20,2023-01-08,43494.44,36240.490000000005,2023-05-23,43494.44,301,283.62,TXN00071,2023-03-12,Cash Outflow,52472,Investing Activities,Transaction 71
SALE00072,CUST008,2023-03-13,2023-09-15,2023-08-07,78145.97,68514.32,2023-07-07,78145.97,559,120.51,TXN00072,2023-03-13,Cash Outflow,164749,Investing Activities,Transaction 72
SALE00073,CUST075,2023-03-14,2023-04-04,2023-04-16,33891.44,32391.100000000002,2023-01-17,33891.44,336,88.8,TXN00073,2023-03-14,Cash Inflow,36211,Operating Activities,Transaction 73
SALE00074,CUST097,2023-03-15,2023-11-18,2023-03-19,35166.01,33720.88,2023-03-13,35166.01,88,329.24,TXN00074,2023-03-15,Cash Outflow,130248,Operating Activities,Transaction 74
SALE00075,CUST054,2023-03-16,2023-02-27,2023-12-20,39563.22,49626.28,2023-02-20,39563.22,329,169.7,TXN00075,2023-03-16,Cash Inflow,94857,Operating Activities,Transaction 75
SALE00076,CUST038,2023-03-17,2023-08-17,2023-08-09,77342.49,80071.72,2023-04-26,77342.49,345,299.23,TXN00076,2023-03-17,Cash Outflow,110715,Financing Activities,Transaction 76
SALE00077,CUST048,2023-03-18,2023-04-02,2023-08-19,60478.92,56313.81,2023-03-03,60478.92,176,222.29,TXN00077,2023-03-18,Cash Outflow,81939,Operating Activities,Transaction 77
SALE00078,CUST027,2023-03-19,2023-08-02,2023-06-03,84024.76,75951.49,2023-11-27,84024.76,434,492.33,TXN00078,2023-03-19,Cash Outflow,140294,Operating Activities,Transaction 78
SALE00079,CUST020,2023-03-20,2023-10-11,2023-11-16,52941.2,36576.92,2023-12-13,52941.2,99,83.29,TXN00079,2023-03-20,Cash Inflow,76653,Investing Activities,Transaction 79
SALE00080,CUST012,2023-03-21,2023-03-20,2023-07-25,64339.85,71643.98,2023-05-14,64339.85,208,237.65,TXN00080,2023-03-21,Cash Outflow,96733,Operating Activities,Transaction 80
SALE00081,CUST043,2023-03-22,2023-09-14,2023-03-06,59017.54,55338.5,2023-11-11,59017.54,96,343.42,TXN00081,2023-03-22,Cash Inflow,128508,Financing Activities,Transaction 81
SALE00082,CUST061,2023-03-23,2023-06-28,2023-01-15,49205.41,60727.63,2023-08-15,49205.41,40,203.82,TXN00082,2023-03-23,Cash Outflow,182150,Operating Activities,Transaction 82
SALE00083,CUST031,2023-03-24,2023-03-29,2023-05-25,53154.81,42778.22,2023-10-11,53154.81,400,487.6,TXN00083,2023-03-24,Cash Inflow,100500,Financing Activities,Transaction 83
SALE00084,CUST091,2023-03-25,2023-01-23,2023-11-08,86177.92,94357.38,2023-07-31,86177.92,60,363.72,TXN00084,2023-03-25,Cash Outflow,77055,Operating Activities,Transaction 84
SALE00085,CUST096,2023-03-26,2023-02-02,2023-04-10,98274.66,96684.33,2023-05-11,98274.66,425,331.92,TXN00085,2023-03-26,Cash Inflow,91018,Operating Activities,Transaction 85
SALE00086,CUST061,2023-03-27,2023-06-28,2023-01-15,49205.41,60727.63,2023-08-15,49205.41,30,380.96,TXN00086,2023-03-27,Cash Inflow,108200,Operating Activities,Transaction 86
SALE00087,CUST074,2023-03-28,2023-05-15,2023-07-10,29881.460000000003,27693.14,2023-04-13,29881.460000000003,192,476.8,TXN00087,2023-03-28,Cash Outflow,114384,Operating Activities,Transaction 87
SALE00088,CUST067,2023-03-29,2023-08-13,2023-07-15,39448.68,34502.35,2023-06-17,39448.68,24,454.83,TXN00088,2023-03-29,Cash Inflow,43136,Financing Activities,Transaction 88
SALE00089,CUST091,2023-03-30,2023-01-23,2023-11-08,86177.92,94357.38,2023-07-31,86177.92,405,364.9,TXN00089,2023-03-30,Cash Outflow,113145,Financing Activities,Transaction 89
SALE00090,CUST035,2023-03-31,2023-04-08,2023-10-21,55332.61,47434.53,2023-10-16,55332.61,290,377.09,TXN00090,2023-03-31,Cash Outflow,170210,Investing Activities,Transaction 90
SALE00091,CUST095,2023-04-01,2023-06-23,2023-09-30,49389.65,69434.77,2023-12-12,49389.65,352,81.5,TXN00091,2023-04-01,Cash Outflow,216876,Financing Activities,Transaction 91
SALE00092,CUST015,2023-04-02,2023-09-21,2023-09-15,28619.02,55478.62,2023-01-31,28619.02,152,60.37,TXN00092,2023-04-02,Cash Outflow,37312,Operating Activities,Transaction 92
SALE00093,CUST016,2023-04-03,2023-02-13,2023-06-12,22541.61,35506.28,2023-04-25,22541.61,147,289.74,TXN00093,2023-04-03,Cash Outflow,59087,Investing Activities,Transaction 93
SALE00094,CUST013,2023-04-04,2023-06-29,2023-05-31,28898.899999999998,27185.260000000002,2023-08-18,28898.899999999998,30,19.0,TXN00094,2023-04-04,Cash Outflow,89328,Investing Activities,Transaction 94
SALE00095,CUST035,2023-04-05,2023-04-08,2023-10-21,55332.61,47434.53,2023-10-16,55332.61,180,246.35,TXN00095,2023-04-05,Cash Outflow,60690,Investing Activities,Transaction 95
SALE00096,CUST075,2023-04-06,2023-04-04,2023-04-16,33891.44,32391.100000000002,2023-01-17,33891.44,196,113.07,TXN00096,2023-04-06,Cash Outflow,33600,Operating Activities,Transaction 96
SALE00097,CUST059,2023-04-07,2023-03-16,2023-12-04,61055.39,62485.46,2023-11-16,61055.39,462,179.55,TXN00097,2023-04-07,Cash Outflow,74459,Financing Activities,Transaction 97
SALE00098,CUST021,2023-04-08,2023-04-02,2023-10-16,89729.16,79997.27,2023-07-09,89729.16,330,390.14,TXN00098,2023-04-08,Cash Outflow,64770,Operating Activities,Transaction 98
SALE00099,CUST054,2023-04-09,2023-02-27,2023-12-20,39563.22,49626.28,2023-02-20,39563.22,147,471.21,TXN00099,2023-04-09,Cash Outflow,87605,Investing Activities,Transaction 99
SALE00100,CUST075,2023-04-10,2023-04-04,2023-04-16,33891.44,32391.100000000002,2023-01-17,33891.44,42,45.48,TXN00100,2023-04-10,Cash Inflow,89138,Operating Activities,Transaction 100
SALE00101,CUST030,2023-04-11,2023-12-26,2023-10-17,76021.64,74168.39,2023-06-20,76021.64,14,271.78,TXN00101,2023-04-11,Cash Inflow,263060,Operating Activities,Transaction 101
SALE00102,CUST048,2023-04-12,2023-04-02,2023-08-19,60478.92,56313.81,2023-03-03,60478.92,55,442.44,TXN00102,2023-04-12,Cash Outflow,74294,Financing Activities,Transaction 102
SALE00103,CUST035,2023-04-13,2023-04-08,2023-10-21,55332.61,47434.53,2023-10-16,55332.61,410,50.43,TXN00103,2023-04-13,Cash Outflow,176440,Financing Activities,Transaction 103
SALE00104,CUST086,2023-04-14,2023-08-18,2023-04-14,48014.74,47511.53,2023-01-15,48014.74,108,414.01,TXN00104,2023-04-14,Cash Outflow,70650,Investing Activities,Transaction 104
SALE00105,CUST038,2023-04-15,2023-08-17,2023-08-09,77342.49,80071.72,2023-04-26,77342.49,390,185.32,TXN00105,2023-04-15,Cash Outflow,235245,Operating Activities,Transaction 105
SALE00106,CUST031,2023-04-16,2023-03-29,2023-05-25,53154.81,42778.22,2023-10-11,53154.81,460,167.83,TXN00106,2023-04-16,Cash Outflow,67380,Operating Activities,Transaction 106
SALE00107,CUST078,2023-04-17,2023-02-27,2023-01-31,49783.25,54662.54,2023-01-09,49783.25,340,488.96,TXN00107,2023-04-17,Cash Outflow,65900,Financing Activities,Transaction 107
SALE00108,CUST024,2023-04-18,2023-05-01,2023-03-31,45218.61,41994.729999999996,2023-06-15,45218.61,490,108.42,TXN00108,2023-04-18,Cash Outflow,121370,Operating Activities,Transaction 108
SALE00109,CUST049,2023-04-19,2023-04-10,2023-12-02,96116.34,74290.45999999999,2023-03-08,96116.34,196,349.67,TXN00109,2023-04-19,Cash Outflow,184058,Operating Activities,Transaction 109
SALE00110,CUST096,2023-04-20,2023-02-02,2023-04-10,98274.66,96684.33,2023-05-11,98274.66,442,412.51,TXN00110,2023-04-20,Cash Inflow,176987,Operating Activities,Transaction 110
SALE00111,CUST100,2023-04-21,2023-07-14,2023-10-05,31620.24,29781.05,2023-03-26,31620.24,270,30.18,TXN00111,2023-04-21,Cash Outflow,53832,Financing Activities,Transaction 111
SALE00112,CUST032,2023-04-22,2023-03-30,2023-01-06,80815.27,88414.34,2023-06-28,80815.27,405,338.49,TXN00112,2023-04-22,Cash Inflow,281565,Investing Activities,Transaction 112
SALE00113,CUST055,2023-04-23,2023-09-24,2023-06-02,33874.47,38541.82,2023-09-18,33874.47,54,476.26,TXN00113,2023-04-23,Cash Outflow,22596,Investing Activities,Transaction 113
SALE00114,CUST079,2023-04-24,2023-09-11,2023-01-24,26711.420000000002,20850.58,2023-07-19,26711.420000000002,156,70.87,TXN00114,2023-04-24,Cash Outflow,6996,Operating Activities,Transaction 114
SALE00115,CUST058,2023-04-25,2023-08-17,2023-08-14,52585.6,51930.979999999996,2023-09-08,52585.6,517,449.15,TXN00115,2023-04-25,Cash Inflow,51568,Investing Activities,Transaction 115
SALE00116,CUST099,2023-04-26,2023-11-10,2023-07-25,46714.51,35951.49,2023-03-12,46714.51,198,301.44,TXN00116,2023-04-26,Cash Outflow,157995,Financing Activities,Transaction 116
SALE00117,CUST003,2023-04-27,2023-07-25,2023-08-27,86558.03,89401.25,2023-08-12,86558.03,705,312.14,TXN00117,2023-04-27,Cash Inflow,159915,Financing Activities,Transaction 117
SALE00118,CUST080,2023-04-28,2023-12-05,2023-04-18,54176.76,53505.47,2023-11-05,54176.76,270,310.34,TXN00118,2023-04-28,Cash Outflow,106326,Investing Activities,Transaction 118
SALE00119,CUST069,2023-04-29,2023-06-24,2023-06-04,68326.20999999999,60165.27,2023-11-21,68326.20999999999,473,156.43,TXN00119,2023-04-29,Cash Outflow,147301,Investing Activities,Transaction 119
SALE00120,CUST085,2023-04-30,2023-02-24,2023-01-13,32354.309999999998,32354.309999999998,2023-01-05,32354.309999999998,336,468.25,TXN00120,2023-04-30,Cash Inflow,36939,Operating Activities,Transaction 120
SALE00121,CUST010,2023-05-01,2023-09-01,2023-01-30,55289.66,65133.63,2023-04-25,55289.66,170,474.2,TXN00121,2023-05-01,Cash Outflow,44000,Investing Activities,Transaction 121
SALE00122,CUST083,2023-05-02,2023-06-18,2023-10-06,54370.66,53799.590000000004,2023-08-21,54370.66,312,316.4,TXN00122,2023-05-02,Cash Inflow,170592,Operating Activities,Transaction 122
SALE00123,CUST025,2023-05-03,2023-01-11,2023-06-10,45629.729999999996,41726.18,2023-02-06,45629.729999999996,396,393.88,TXN00123,2023-05-03,Cash Outflow,82291,Operating Activities,Transaction 123
SALE00124,CUST068,2023-05-04,2023-05-26,2023-06-18,68483.69,70550.29,2023-04-22,68483.69,15,310.01,TXN00124,2023-05-04,Cash Inflow,103140,Financing Activities,Transaction 124
SALE00125,CUST061,2023-05-05,2023-06-28,2023-01-15,49205.41,60727.63,2023-08-15,49205.41,80,247.36,TXN00125,2023-05-05,Cash Inflow,174070,Financing Activities,Transaction 125
SALE00126,CUST029,2023-05-06,2023-02-08,2023-08-10,29938.3,37134.09,2023-07-21,29938.3,392,333.8,TXN00126,2023-05-06,Cash Outflow,154216,Financing Activities,Transaction 126
SALE00127,CUST019,2023-05-07,2023-06-27,2023-06-30,60683.57,73103.47,2023-03-04,60683.57,455,280.97,TXN00127,2023-05-07,Cash Outflow,253201,Financing Activities,Transaction 127
SALE00128,CUST043,2023-05-08,2023-09-14,2023-03-06,59017.54,55338.5,2023-11-11,59017.54,180,302.76,TXN00128,2023-05-08,Cash Inflow,127920,Investing Activities,Transaction 128
SALE00129,CUST066,2023-05-09,2023-10-02,2023-08-08,52866.84,65907.19,2023-09-06,52866.84,658,394.08,TXN00129,2023-05-09,Cash Outflow,204736,Financing Activities,Transaction 129
SALE00130,CUST074,2023-05-10,2023-05-15,2023-07-10,29881.460000000003,27693.14,2023-04-13,29881.460000000003,132,245.64,TXN00130,2023-05-10,Cash Outflow,100692,Investing Activities,Transaction 130
SALE00131,CUST061,2023-05-11,2023-06-28,2023-01-15,49205.41,60727.63,2023-08-15,49205.41,140,29.97,TXN00131,2023-05-11,Cash Outflow,109880,Financing Activities,Transaction 131
SALE00132,CUST043,2023-05-12,2023-09-14,2023-03-06,59017.54,55338.5,2023-11-11,59017.54,312,90.36,TXN00132,2023-05-12,Cash Inflow,68880,Investing Activities,Transaction 132
SALE00133,CUST025,2023-05-13,2023-01-11,2023-06-10,45629.729999999996,41726.18,2023-02-06,45629.729999999996,308,224.92,TXN00133,2023-05-13,Cash Inflow,120483,Operating Activities,Transaction 133
SALE00134,CUST020,2023-05-14,2023-10-11,2023-11-16,52941.2,36576.92,2023-12-13,52941.2,207,365.17,TXN00134,2023-05-14,Cash Inflow,98802,Investing Activities,Transaction 134
SALE00135,CUST048,2023-05-15,2023-04-02,2023-08-19,60478.92,56313.81,2023-03-03,60478.92,154,300.71,TXN00135,2023-05-15,Cash Inflow,141834,Investing Activities,Transaction 135
SALE00136,CUST083,2023-05-16,2023-06-18,2023-10-06,54370.66,53799.590000000004,2023-08-21,54370.66,288,328.64,TXN00136,2023-05-16,Cash Inflow,237144,Financing Activities,Transaction 136
SALE00137,CUST087,2023-05-17,2023-01-26,2023-09-15,41904.55,51831.380000000005,2023-10-30,41904.55,20,244.85,TXN00137,2023-05-17,Cash Inflow,49320,Investing Activities,Transaction 137
SALE00138,CUST024,2023-05-18,2023-05-01,2023-03-31,45218.61,41994.729999999996,2023-06-15,45218.61,450,311.71,TXN00138,2023-05-18,Cash Inflow,140680,Operating Activities,Transaction 138
SALE00139,CUST011,2023-05-19,2023-07-22,2023-05-25,38055.71,31996.71,2023-02-25,38055.71,208,171.22,TXN00139,2023-05-19,Cash Inflow,117424,Operating Activities,Transaction 139
