TransactionID,TransactionDate,TransactionType,Amount,Category,Description
TXN00926,2025-07-14,Cash Inflow,6868,Investing Activities,Transaction 926
TXN00303,2023-10-30,Cash Inflow,9684,Investing Activities,Transaction 303
TXN00871,2025-05-20,Cash Inflow,19139,Investing Activities,Transaction 871
TXN00138,2023-05-18,Cash Inflow,14068,Operating Activities,Transaction 138
TXN00498,2024-05-12,Cash Outflow,1909,Financing Activities,Transaction 498
TXN00060,2023-03-01,Cash Inflow,4863,Operating Activities,Transaction 60
TXN00484,2024-04-28,Cash Outflow,17827,Investing Activities,Transaction 484
TXN00942,2025-07-30,Cash Inflow,6590,Operating Activities,Transaction 942
TXN00510,2024-05-24,Cash Outflow,13380,Operating Activities,Transaction 510
TXN00464,2024-04-08,Cash Inflow,13100,Operating Activities,Transaction 464
TXN00394,2024-01-29,Cash Outflow,7014,Operating Activities,Transaction 394
TXN00748,2025-01-17,Cash Inflow,9605,Investing Activities,Transaction 748
TXN00685,2024-11-15,Cash Inflow,10926,Financing Activities,Transaction 685
TXN00496,2024-05-10,Cash Inflow,5341,Financing Activities,Transaction 496
TXN00137,2023-05-17,Cash Inflow,4932,Investing Activities,Transaction 137
TXN00212,2023-07-31,Cash Inflow,13546,Investing Activities,Transaction 212
TXN00565,2024-07-18,Cash Outflow,16326,Operating Activities,Transaction 565
TXN00336,2023-12-02,Cash Outflow,6871,Operating Activities,Transaction 336
TXN00580,2024-08-02,Cash Outflow,1740,Financing Activities,Transaction 580
TXN00400,2024-02-04,Cash Inflow,13724,Investing Activities,Transaction 400
TXN00326,2023-11-22,Cash Outflow,17834,Financing Activities,Transaction 326
TXN00478,2024-04-22,Cash Outflow,15649,Operating Activities,Transaction 478
TXN00696,2024-11-26,Cash Outflow,15399,Investing Activities,Transaction 696
TXN00121,2023-05-01,Cash Outflow,4400,Investing Activities,Transaction 121
TXN00493,2024-05-07,Cash Inflow,18192,Financing Activities,Transaction 493
TXN00422,2024-02-26,Cash Outflow,4880,Financing Activities,Transaction 422
TXN00205,2023-07-24,Cash Outflow,18617,Investing Activities,Transaction 205
TXN00050,2023-02-19,Cash Outflow,5476,Operating Activities,Transaction 50
TXN00088,2023-03-29,Cash Inflow,5392,Financing Activities,Transaction 88
TXN00956,2025-08-13,Cash Inflow,1399,Operating Activities,Transaction 956
TXN00038,2023-02-07,Cash Inflow,15606,Operating Activities,Transaction 38
TXN00096,2023-04-06,Cash Outflow,4800,Operating Activities,Transaction 96
TXN00018,2023-01-18,Cash Outflow,2693,Investing Activities,Transaction 18
TXN00339,2023-12-05,Cash Outflow,3728,Operating Activities,Transaction 339
TXN00608,2024-08-30,Cash Outflow,16396,Financing Activities,Transaction 608
TXN00716,2024-12-16,Cash Outflow,14332,Financing Activities,Transaction 716
TXN00589,2024-08-11,Cash Outflow,10150,Investing Activities,Transaction 589
TXN00585,2024-08-07,Cash Outflow,13850,Financing Activities,Transaction 585
TXN00261,2023-09-18,Cash Inflow,11068,Financing Activities,Transaction 261
TXN00826,2025-04-05,Cash Outflow,5299,Investing Activities,Transaction 826
TXN00938,2025-07-26,Cash Inflow,3541,Financing Activities,Transaction 938
TXN00459,2024-04-03,Cash Inflow,16938,Operating Activities,Transaction 459
TXN00231,2023-08-19,Cash Outflow,14203,Investing Activities,Transaction 231
TXN00519,2024-06-02,Cash Outflow,13308,Operating Activities,Transaction 519
TXN00433,2024-03-08,Cash Inflow,10416,Investing Activities,Transaction 433
TXN00718,2024-12-18,Cash Outflow,18797,Investing Activities,Transaction 718
TXN00839,2025-04-18,Cash Outflow,16922,Investing Activities,Transaction 839
TXN00415,2024-02-19,Cash Inflow,18089,Financing Activities,Transaction 415
TXN00004,2023-01-04,Cash Inflow,13716,Financing Activities,Transaction 4
TXN00711,2024-12-11,Cash Inflow,18680,Operating Activities,Transaction 711
TXN00945,2025-08-02,Cash Inflow,2425,Operating Activities,Transaction 945
TXN00907,2025-06-25,Cash Outflow,6654,Financing Activities,Transaction 907
TXN00356,2023-12-22,Cash Inflow,11897,Investing Activities,Transaction 356
TXN00799,2025-03-09,Cash Inflow,1507,Operating Activities,Transaction 799
TXN00110,2023-04-20,Cash Inflow,10411,Operating Activities,Transaction 110
TXN00489,2024-05-03,Cash Inflow,2698,Investing Activities,Transaction 489
TXN00882,2025-05-31,Cash Outflow,6842,Investing Activities,Transaction 882
TXN00014,2023-01-14,Cash Inflow,509,Investing Activities,Transaction 14
TXN00905,2025-06-23,Cash Inflow,18273,Operating Activities,Transaction 905
TXN00499,2024-05-13,Cash Inflow,5066,Investing Activities,Transaction 499
TXN00653,2024-10-14,Cash Inflow,10496,Investing Activities,Transaction 653
TXN00052,2023-02-21,Cash Outflow,10515,Operating Activities,Transaction 52
TXN00569,2024-07-22,Cash Inflow,13152,Financing Activities,Transaction 569
TXN00010,2023-01-10,Cash Outflow,17139,Financing Activities,Transaction 10
TXN00074,2023-03-15,Cash Outflow,16281,Operating Activities,Transaction 74
TXN00913,2025-07-01,Cash Inflow,13899,Financing Activities,Transaction 913
TXN00921,2025-07-09,Cash Inflow,16519,Investing Activities,Transaction 921
TXN00694,2024-11-24,Cash Outflow,15061,Investing Activities,Transaction 694
TXN00582,2024-08-04,Cash Inflow,9630,Financing Activities,Transaction 582
TXN00536,2024-06-19,Cash Outflow,8541,Investing Activities,Transaction 536
TXN00458,2024-04-02,Cash Outflow,14922,Operating Activities,Transaction 458
TXN00526,2024-06-09,Cash Inflow,18935,Operating Activities,Transaction 526
TXN00491,2024-05-05,Cash Outflow,9606,Investing Activities,Transaction 491
TXN00776,2025-02-14,Cash Inflow,16606,Operating Activities,Transaction 776
TXN00847,2025-04-26,Cash Outflow,13761,Financing Activities,Transaction 847
TXN00312,2023-11-08,Cash Inflow,11802,Investing Activities,Transaction 312
TXN00390,2024-01-25,Cash Inflow,19756,Investing Activities,Transaction 390
TXN00700,2024-11-30,Cash Inflow,9576,Financing Activities,Transaction 700
TXN00181,2023-06-30,Cash Inflow,11975,Operating Activities,Transaction 181
TXN00158,2023-06-07,Cash Outflow,17802,Investing Activities,Transaction 158
TXN00630,2024-09-21,Cash Inflow,4997,Investing Activities,Transaction 630
TXN00920,2025-07-08,Cash Outflow,14121,Investing Activities,Transaction 920
TXN00230,2023-08-18,Cash Inflow,11454,Investing Activities,Transaction 230
TXN00053,2023-02-22,Cash Inflow,3919,Operating Activities,Transaction 53
TXN00497,2024-05-11,Cash Inflow,15858,Operating Activities,Transaction 497
TXN00027,2023-01-27,Cash Outflow,10844,Investing Activities,Transaction 27
TXN00055,2023-02-24,Cash Inflow,7739,Financing Activities,Transaction 55
TXN00299,2023-10-26,Cash Inflow,7065,Operating Activities,Transaction 299
TXN00695,2024-11-25,Cash Outflow,16012,Investing Activities,Transaction 695
TXN00206,2023-07-25,Cash Inflow,2105,Investing Activities,Transaction 206
TXN00215,2023-08-03,Cash Inflow,4824,Operating Activities,Transaction 215
TXN00590,2024-08-12,Cash Inflow,19206,Financing Activities,Transaction 590
TXN00509,2024-05-23,Cash Outflow,18271,Operating Activities,Transaction 509
TXN00039,2023-02-08,Cash Inflow,18344,Operating Activities,Transaction 39
TXN00843,2025-04-22,Cash Inflow,10896,Financing Activities,Transaction 843
TXN00159,2023-06-08,Cash Inflow,19681,Financing Activities,Transaction 159
TXN00902,2025-06-20,Cash Outflow,2933,Investing Activities,Transaction 902
TXN00292,2023-10-19,Cash Inflow,17949,Financing Activities,Transaction 292
TXN00413,2024-02-17,Cash Outflow,5471,Financing Activities,Transaction 413
TXN00783,2025-02-21,Cash Outflow,8061,Financing Activities,Transaction 783
TXN00690,2024-11-20,Cash Outflow,5305,Financing Activities,Transaction 690
TXN00761,2025-01-30,Cash Outflow,2091,Investing Activities,Transaction 761
TXN00816,2025-03-26,Cash Inflow,7991,Financing Activities,Transaction 816
TXN00861,2025-05-10,Cash Outflow,12655,Financing Activities,Transaction 861
TXN00937,2025-07-25,Cash Outflow,16869,Investing Activities,Transaction 937
TXN00922,2025-07-10,Cash Inflow,3220,Financing Activities,Transaction 922
TXN00461,2024-04-05,Cash Outflow,16208,Financing Activities,Transaction 461
TXN00693,2024-11-23,Cash Inflow,2368,Operating Activities,Transaction 693
TXN00119,2023-04-29,Cash Outflow,13391,Investing Activities,Transaction 119
TXN00609,2024-08-31,Cash Outflow,12418,Operating Activities,Transaction 609
TXN00948,2025-08-05,Cash Outflow,1052,Operating Activities,Transaction 948
TXN00763,2025-02-01,Cash Inflow,6683,Financing Activities,Transaction 763
TXN00672,2024-11-02,Cash Outflow,11316,Financing Activities,Transaction 672
TXN00330,2023-11-26,Cash Outflow,19529,Financing Activities,Transaction 330
TXN00123,2023-05-03,Cash Outflow,7481,Operating Activities,Transaction 123
TXN00936,2025-07-24,Cash Inflow,10861,Financing Activities,Transaction 936
TXN00061,2023-03-02,Cash Inflow,10676,Financing Activities,Transaction 61
TXN00446,2024-03-21,Cash Inflow,16034,Financing Activities,Transaction 446
TXN00034,2023-02-03,Cash Outflow,13263,Financing Activities,Transaction 34
TXN00411,2024-02-15,Cash Inflow,13726,Investing Activities,Transaction 411
TXN00833,2025-04-12,Cash Inflow,12301,Operating Activities,Transaction 833
TXN00764,2025-02-02,Cash Outflow,1812,Financing Activities,Transaction 764
TXN00867,2025-05-16,Cash Inflow,9484,Investing Activities,Transaction 867
TXN00329,2023-11-25,Cash Outflow,2743,Financing Activities,Transaction 329
TXN00317,2023-11-13,Cash Inflow,6288,Operating Activities,Transaction 317
TXN00503,2024-05-17,Cash Inflow,1304,Investing Activities,Transaction 503
TXN00374,2024-01-09,Cash Outflow,626,Financing Activities,Transaction 374
TXN00747,2025-01-16,Cash Inflow,14413,Financing Activities,Transaction 747
TXN00538,2024-06-21,Cash Inflow,18958,Financing Activities,Transaction 538
TXN00293,2023-10-20,Cash Inflow,19020,Operating Activities,Transaction 293
TXN00621,2024-09-12,Cash Outflow,15523,Operating Activities,Transaction 621
TXN00257,2023-09-14,Cash Inflow,5787,Financing Activities,Transaction 257
TXN00528,2024-06-11,Cash Outflow,11872,Operating Activities,Transaction 528
TXN00474,2024-04-18,Cash Outflow,14075,Investing Activities,Transaction 474
TXN00128,2023-05-08,Cash Inflow,10660,Investing Activities,Transaction 128
TXN00541,2024-06-24,Cash Inflow,17529,Financing Activities,Transaction 541
TXN00600,2024-08-22,Cash Outflow,6395,Operating Activities,Transaction 600
TXN00678,2024-11-08,Cash Outflow,14769,Operating Activities,Transaction 678
TXN00141,2023-05-21,Cash Outflow,802,Operating Activities,Transaction 141
TXN00410,2024-02-14,Cash Outflow,7283,Investing Activities,Transaction 410
TXN00578,2024-07-31,Cash Outflow,2843,Financing Activities,Transaction 578
TXN00428,2024-03-03,Cash Outflow,17850,Investing Activities,Transaction 428
TXN00025,2023-01-25,Cash Outflow,14272,Operating Activities,Transaction 25
TXN00652,2024-10-13,Cash Outflow,4846,Investing Activities,Transaction 652
TXN00448,2024-03-23,Cash Outflow,5732,Operating Activities,Transaction 448
TXN00135,2023-05-15,Cash Inflow,12894,Investing Activities,Transaction 135
TXN00904,2025-06-22,Cash Inflow,4667,Operating Activities,Transaction 904
TXN00574,2024-07-27,Cash Outflow,8117,Operating Activities,Transaction 574
TXN00282,2023-10-09,Cash Outflow,11657,Investing Activities,Transaction 282
TXN00264,2023-09-21,Cash Inflow,18878,Financing Activities,Transaction 264
TXN00811,2025-03-21,Cash Inflow,14007,Financing Activities,Transaction 811
TXN00316,2023-11-12,Cash Outflow,15874,Investing Activities,Transaction 316
TXN00682,2024-11-12,Cash Inflow,4994,Financing Activities,Transaction 682
TXN00941,2025-07-29,Cash Outflow,18779,Financing Activities,Transaction 941
TXN00691,2024-11-21,Cash Outflow,1306,Investing Activities,Transaction 691
TXN00346,2023-12-12,Cash Inflow,3174,Operating Activities,Transaction 346
TXN00607,2024-08-29,Cash Inflow,5819,Investing Activities,Transaction 607
TXN00981,2025-09-07,Cash Outflow,1161,Operating Activities,Transaction 981
TXN00169,2023-06-18,Cash Inflow,6250,Operating Activities,Transaction 169
TXN00624,2024-09-15,Cash Outflow,9518,Financing Activities,Transaction 624
TXN00740,2025-01-09,Cash Outflow,16085,Investing Activities,Transaction 740
TXN00522,2024-06-05,Cash Inflow,8928,Operating Activities,Transaction 522
TXN00452,2024-03-27,Cash Outflow,8538,Investing Activities,Transaction 452
TXN00298,2023-10-25,Cash Inflow,8304,Investing Activities,Transaction 298
TXN00054,2023-02-23,Cash Outflow,14930,Investing Activities,Transaction 54
TXN00171,2023-06-20,Cash Outflow,10767,Operating Activities,Transaction 171
TXN00373,2024-01-08,Cash Outflow,6459,Operating Activities,Transaction 373
TXN00943,2025-07-31,Cash Outflow,6582,Operating Activities,Transaction 943
TXN00114,2023-04-24,Cash Outflow,1166,Operating Activities,Transaction 114
TXN00208,2023-07-27,Cash Outflow,7267,Operating Activities,Transaction 208
TXN00287,2023-10-14,Cash Inflow,19782,Investing Activities,Transaction 287
TXN00189,2023-07-08,Cash Inflow,13410,Investing Activities,Transaction 189
TXN00013,2023-01-13,Cash Inflow,10636,Financing Activities,Transaction 13
TXN00859,2025-05-08,Cash Outflow,7924,Operating Activities,Transaction 859
TXN00877,2025-05-26,Cash Outflow,3880,Financing Activities,Transaction 877
TXN00340,2023-12-06,Cash Outflow,14882,Financing Activities,Transaction 340
TXN00225,2023-08-13,Cash Outflow,19435,Financing Activities,Transaction 225
TXN00462,2024-04-06,Cash Inflow,11771,Operating Activities,Transaction 462
TXN00500,2024-05-14,Cash Outflow,11882,Financing Activities,Transaction 500
TXN00163,2023-06-12,Cash Outflow,8173,Investing Activities,Transaction 163
TXN00644,2024-10-05,Cash Inflow,8064,Operating Activities,Transaction 644
TXN00239,2023-08-27,Cash Inflow,6783,Operating Activities,Transaction 239
TXN00175,2023-06-24,Cash Outflow,6729,Investing Activities,Transaction 175
TXN00978,2025-09-04,Cash Outflow,10681,Operating Activities,Transaction 978
TXN00990,2025-09-16,Cash Outflow,16809,Operating Activities,Transaction 990
TXN00731,2024-12-31,Cash Inflow,18174,Investing Activities,Transaction 731
TXN00698,2024-11-28,Cash Outflow,16434,Financing Activities,Transaction 698
TXN00242,2023-08-30,Cash Inflow,13441,Operating Activities,Transaction 242
TXN00803,2025-03-13,Cash Inflow,12218,Investing Activities,Transaction 803
TXN00192,2023-07-11,Cash Inflow,16228,Investing Activities,Transaction 192
TXN00684,2024-11-14,Cash Outflow,9655,Financing Activities,Transaction 684
TXN00216,2023-08-04,Cash Inflow,11287,Financing Activities,Transaction 216
TXN00996,2025-09-22,Cash Inflow,1456,Investing Activities,Transaction 996
TXN00823,2025-04-02,Cash Outflow,11883,Investing Activities,Transaction 823
TXN00228,2023-08-16,Cash Outflow,6060,Investing Activities,Transaction 228
TXN00370,2024-01-05,Cash Inflow,4951,Operating Activities,Transaction 370
TXN00587,2024-08-09,Cash Outflow,1752,Financing Activities,Transaction 587
TXN00475,2024-04-19,Cash Inflow,8470,Financing Activities,Transaction 475
TXN00308,2023-11-04,Cash Outflow,13290,Financing Activities,Transaction 308
TXN00236,2023-08-24,Cash Outflow,17108,Investing Activities,Transaction 236
TXN00108,2023-04-18,Cash Outflow,12137,Operating Activities,Transaction 108
TXN00756,2025-01-25,Cash Outflow,15059,Operating Activities,Transaction 756
TXN00837,2025-04-16,Cash Inflow,14788,Financing Activities,Transaction 837
TXN00502,2024-05-16,Cash Inflow,15096,Financing Activities,Transaction 502
TXN00017,2023-01-17,Cash Outflow,1515,Investing Activities,Transaction 17
TXN00070,2023-03-11,Cash Outflow,1752,Operating Activities,Transaction 70
TXN00012,2023-01-12,Cash Inflow,18722,Investing Activities,Transaction 12
TXN00046,2023-02-15,Cash Outflow,2548,Operating Activities,Transaction 46
TXN00020,2023-01-20,Cash Inflow,14050,Financing Activities,Transaction 20
TXN00184,2023-07-03,Cash Inflow,8061,Operating Activities,Transaction 184
TXN00513,2024-05-27,Cash Inflow,2606,Financing Activities,Transaction 513
TXN00539,2024-06-22,Cash Inflow,8492,Investing Activities,Transaction 539
TXN00149,2023-05-29,Cash Inflow,16245,Financing Activities,Transaction 149
TXN00246,2023-09-03,Cash Outflow,2417,Financing Activities,Transaction 246
TXN00140,2023-05-20,Cash Inflow,18160,Financing Activities,Transaction 140
TXN00481,2024-04-25,Cash Outflow,8856,Operating Activities,Transaction 481
TXN00925,2025-07-13,Cash Inflow,16885,Operating Activities,Transaction 925
TXN00310,2023-11-06,Cash Outflow,4187,Financing Activities,Transaction 310
TXN00267,2023-09-24,Cash Outflow,9810,Operating Activities,Transaction 267
TXN00495,2024-05-09,Cash Inflow,10612,Operating Activities,Transaction 495
TXN00117,2023-04-27,Cash Inflow,10661,Financing Activities,Transaction 117
TXN00091,2023-04-01,Cash Outflow,19716,Financing Activities,Transaction 91
TXN00841,2025-04-20,Cash Inflow,9578,Operating Activities,Transaction 841
TXN00147,2023-05-27,Cash Inflow,2625,Investing Activities,Transaction 147
TXN00870,2025-05-19,Cash Outflow,5890,Investing Activities,Transaction 870
TXN00101,2023-04-11,Cash Inflow,18790,Operating Activities,Transaction 101
TXN00145,2023-05-25,Cash Outflow,9217,Investing Activities,Transaction 145
TXN00005,2023-01-05,Cash Inflow,3279,Operating Activities,Transaction 5
TXN00705,2024-12-05,Cash Inflow,17708,Investing Activities,Transaction 705
TXN00767,2025-02-05,Cash Inflow,2639,Investing Activities,Transaction 767
TXN00914,2025-07-02,Cash Outflow,10268,Financing Activities,Transaction 914
