ItemID,ItemName,Category,QuantityOnHand,ReorderLevel,ReorderQuantity,UnitPrice,SupplierID,LastOrderDate,LastReceivedDate,ExpirationDate,Location
ITEM00853,Item U,Components,445,79,188,15.91,SUP028,2039-05-01,2039-05-07,2041-04-24,U2
ITEM00004,Item D,Materials,496,89,209,9.89,SUP073,2023-01-22,2023-01-29,2024-02-25,D3
ITEM00724,Item V,Components,77,17,299,69.97,SUP016,2036-11-09,2036-11-12,2038-01-21,V3
ITEM00469,Item A,Widgets,183,21,125,68.04,SUP003,2031-12-21,2031-12-23,2033-07-21,A8
ITEM00766,Item L,Components,324,31,233,74.57,SUP010,2037-08-30,2037-09-06,2039-06-08,L5
ITEM00427,Item K,Widgets,407,11,135,13.08,SUP023,2031-03-02,2031-03-08,2032-12-17,K6
ITEM00730,Item B,Widgets,13,34,201,12.31,SUP047,2036-12-21,2036-12-28,2038-11-26,B9
ITEM00562,Item P,Widgets,11,77,282,54.66,SUP034,2033-10-02,2033-10-09,2034-11-12,P1
ITEM00802,Item V,Parts,58,88,171,21.52,SUP036,2038-05-09,2038-05-13,2039-07-20,V1
ITEM00319,Item G,Gadgets,307,58,53,99.25,SUP047,2029-02-04,2029-02-10,2030-10-31,G8
ITEM00962,Item Z,Gadgets,154,63,145,23.85,SUP016,2041-06-02,2041-06-11,2042-07-22,Z1
ITEM00096,Item R,Parts,148,11,292,38.35,SUP098,2024-10-27,2024-11-05,2026-06-28,R5
ITEM00535,Item O,Parts,446,44,286,46.34,SUP060,2033-03-27,2033-03-29,2034-05-12,O4
ITEM00247,Item M,Components,128,74,260,18.85,SUP019,2027-09-19,2027-09-26,2028-12-08,M6
ITEM00097,Item S,Materials,118,79,112,93.7,SUP036,2024-11-03,2024-11-08,2026-11-02,S6
ITEM00094,Item P,Parts,361,98,148,94.36,SUP087,2024-10-13,2024-10-17,2025-11-27,P3
ITEM00951,Item O,Components,242,14,158,95.4,SUP059,2041-03-17,2041-03-21,2042-09-13,O0
ITEM00266,Item F,Widgets,154,18,289,46.44,SUP091,2028-01-30,2028-02-04,2029-12-26,F5
ITEM00207,Item Y,Materials,112,10,168,24.68,SUP007,2026-12-13,2026-12-16,2027-12-30,Y6
ITEM00866,Item H,Materials,60,30,188,73.89,SUP079,2039-07-31,2039-08-02,2041-03-16,H5
ITEM00559,Item M,Widgets,319,22,156,63.12,SUP071,2033-09-11,2033-09-16,2035-04-11,M8
ITEM00294,Item H,Components,27,24,140,80.67,SUP084,2028-08-13,2028-08-18,2029-10-04,H3
ITEM00003,Item C,Parts,356,93,259,99.47,SUP060,2023-01-15,2023-01-23,2024-02-07,C2
ITEM00536,Item P,Materials,293,75,133,10.12,SUP058,2033-04-03,2033-04-08,2034-07-13,P5
ITEM00314,Item B,Widgets,64,25,296,4.23,SUP059,2028-12-31,2029-01-08,2030-02-03,B3
ITEM00944,Item H,Parts,86,73,131,3.47,SUP073,2041-01-27,2041-01-29,2042-10-09,H3
ITEM00500,Item F,Widgets,96,76,285,78.7,SUP059,2032-07-25,2032-07-30,2033-10-02,F9
ITEM00265,Item E,Components,4,55,267,22.69,SUP058,2028-01-23,2028-02-01,2029-03-30,E4
ITEM00249,Item O,Components,209,80,221,56.53,SUP050,2027-10-03,2027-10-04,2029-04-09,O8
ITEM00061,Item I,Gadgets,391,59,135,46.85,SUP098,2024-02-25,2024-02-29,2025-04-26,I0
ITEM00668,Item R,Widgets,318,18,180,27.88,SUP097,2035-10-14,2035-10-20,2036-12-04,R7
ITEM00630,Item F,Components,29,88,288,42.52,SUP053,2035-01-21,2035-01-29,2037-01-06,F9
ITEM00287,Item A,Components,378,79,199,76.59,SUP042,2028-06-25,2028-07-02,2030-04-25,A6
ITEM00447,Item E,Parts,478,90,97,2.59,SUP074,2031-07-20,2031-07-28,2032-08-04,E6
ITEM00796,Item P,Gadgets,134,38,174,55.26,SUP087,2038-03-28,2038-03-29,2039-08-30,P5
ITEM00285,Item Y,Widgets,153,57,225,78.35,SUP065,2028-06-11,2028-06-12,2029-10-12,Y4
ITEM00849,Item Q,Widgets,380,62,176,98.35,SUP024,2039-04-03,2039-04-08,2040-08-14,Q8
ITEM00571,Item Y,Gadgets,72,40,100,74.54,SUP063,2033-12-04,2033-12-11,2035-02-19,Y0
ITEM00375,Item K,Widgets,498,64,132,59.45,SUP020,2030-03-03,2030-03-08,2031-09-24,K4
ITEM00492,Item X,Materials,34,45,141,36.23,SUP009,2032-05-30,2032-06-06,2034-01-10,X1
ITEM00529,Item I,Materials,142,16,290,59.94,SUP043,2033-02-13,2033-02-17,2035-01-22,I8
ITEM00882,Item X,Materials,181,67,77,31.1,SUP039,2039-11-20,2039-11-29,2040-12-17,X1
ITEM00160,Item D,Parts,349,29,121,4.11,SUP077,2026-01-18,2026-01-19,2027-04-01,D9
ITEM00862,Item D,Gadgets,492,35,276,78.59,SUP015,2039-07-03,2039-07-07,2041-03-12,D1
ITEM00157,Item A,Components,288,60,213,83.99,SUP090,2025-12-28,2026-01-05,2027-09-29,A6
ITEM00348,Item J,Widgets,148,30,236,89.0,SUP069,2029-08-26,2029-08-30,2030-10-24,J7
ITEM00238,Item D,Components,364,92,276,30.89,SUP057,2027-07-18,2027-07-21,2029-04-30,D7
ITEM00564,Item R,Components,333,88,137,22.83,SUP072,2033-10-16,2033-10-20,2034-12-25,R3
ITEM00782,Item B,Widgets,192,30,94,37.58,SUP014,2037-12-20,2037-12-28,2039-12-18,B1
ITEM00088,Item J,Widgets,370,78,288,82.84,SUP004,2024-09-01,2024-09-10,2026-04-08,J7
ITEM00505,Item K,Parts,29,77,232,60.51,SUP048,2032-08-29,2032-09-07,2034-06-06,K4
ITEM00723,Item U,Gadgets,206,14,209,94.57,SUP015,2036-11-02,2036-11-10,2038-10-11,U2
ITEM00307,Item U,Widgets,401,77,216,99.02,SUP066,2028-11-12,2028-11-14,2030-04-13,U6
ITEM00125,Item U,Widgets,18,52,75,1.29,SUP091,2025-05-18,2025-05-20,2026-12-14,U4
ITEM00005,Item E,Materials,324,13,297,1.23,SUP032,2023-01-29,2023-02-06,2024-07-27,E4
ITEM00209,Item A,Components,403,40,178,65.44,SUP068,2026-12-27,2027-01-04,2028-02-07,A8
ITEM00797,Item Q,Materials,367,94,192,52.59,SUP093,2038-04-04,2038-04-13,2039-06-04,Q6
ITEM00373,Item I,Gadgets,291,45,225,55.12,SUP083,2030-02-17,2030-02-21,2031-06-05,I2
ITEM00517,Item W,Gadgets,377,51,61,19.79,SUP027,2032-11-21,2032-11-27,2034-10-19,W6
ITEM00833,Item A,Gadgets,440,55,158,43.68,SUP065,2038-12-12,2038-12-18,2040-04-17,A2
ITEM00654,Item D,Materials,402,35,100,1.79,SUP048,2035-07-08,2035-07-15,2037-07-13,D3
ITEM00918,Item H,Widgets,338,13,157,86.24,SUP100,2040-07-29,2040-08-03,2042-01-29,H7
ITEM00821,Item O,Widgets,288,67,194,19.35,SUP053,2038-09-19,2038-09-21,2040-01-17,O0
ITEM00082,Item D,Widgets,285,51,228,58.74,SUP093,2024-07-21,2024-07-23,2025-07-23,D1
ITEM00459,Item Q,Gadgets,483,56,258,43.53,SUP058,2031-10-12,2031-10-18,2033-06-14,Q8
ITEM00245,Item K,Parts,494,94,227,76.32,SUP043,2027-09-05,2027-09-12,2029-01-03,K4
ITEM00981,Item S,Parts,451,19,263,77.82,SUP100,2041-10-13,2041-10-16,2042-10-28,S0
ITEM00600,Item B,Materials,241,30,210,37.85,SUP033,2034-06-25,2034-07-04,2036-01-23,B9
ITEM00148,Item R,Parts,458,29,100,5.26,SUP031,2025-10-26,2025-10-29,2027-05-07,R7
ITEM00656,Item F,Widgets,37,43,250,44.89,SUP019,2035-07-22,2035-07-31,2036-09-09,F5
ITEM00968,Item F,Materials,90,93,236,50.66,SUP012,2041-07-14,2041-07-21,2043-03-28,F7
ITEM00823,Item Q,Gadgets,175,81,273,86.29,SUP058,2038-10-03,2038-10-12,2039-10-25,Q2
ITEM00346,Item H,Gadgets,36,22,268,76.55,SUP024,2029-08-12,2029-08-14,2031-08-05,H5
ITEM00764,Item J,Materials,484,87,225,48.45,SUP094,2037-08-16,2037-08-20,2038-12-27,J3
ITEM00525,Item E,Materials,478,87,242,63.44,SUP052,2033-01-16,2033-01-19,2034-12-10,E4
ITEM00769,Item O,Materials,17,94,114,98.19,SUP036,2037-09-20,2037-09-27,2039-03-28,O8
ITEM00631,Item G,Materials,137,30,205,50.51,SUP045,2035-01-28,2035-02-03,2036-06-01,G0
ITEM00583,Item K,Widgets,313,92,126,67.4,SUP045,2034-02-26,2034-02-27,2035-10-08,K2
ITEM00458,Item P,Parts,152,40,84,54.53,SUP045,2031-10-05,2031-10-10,2033-04-08,P7
ITEM00390,Item Z,Gadgets,17,19,168,76.15,SUP092,2030-06-16,2030-06-19,2031-07-06,Z9
ITEM00690,Item N,Parts,304,96,72,86.43,SUP043,2036-03-16,2036-03-19,2037-12-16,N9
ITEM00748,Item T,Parts,455,22,195,87.54,SUP097,2037-04-26,2037-05-03,2038-07-19,T7
ITEM00915,Item E,Components,274,42,196,47.46,SUP022,2040-07-08,2040-07-15,2042-04-23,E4
ITEM00154,Item X,Widgets,87,68,201,69.12,SUP055,2025-12-07,2025-12-15,2027-10-08,X3
ITEM00770,Item P,Widgets,12,53,80,45.6,SUP084,2037-09-27,2037-10-04,2039-06-28,P9
ITEM00476,Item H,Materials,4,14,196,93.59,SUP093,2032-02-08,2032-02-14,2033-10-17,H5
ITEM00875,Item Q,Widgets,174,26,201,90.41,SUP082,2039-10-02,2039-10-06,2041-06-01,Q4
ITEM00120,Item P,Gadgets,477,85,174,86.72,SUP001,2025-04-13,2025-04-14,2026-09-28,P9
ITEM00686,Item J,Widgets,92,58,98,39.1,SUP031,2036-02-17,2036-02-24,2037-08-22,J5
ITEM00644,Item T,Parts,226,54,78,92.48,SUP059,2035-04-29,2035-05-06,2036-08-29,T3
ITEM00861,Item C,Widgets,271,33,174,85.95,SUP016,2039-06-26,2039-06-28,2040-07-04,C0
ITEM00960,Item X,Widgets,77,79,162,70.56,SUP083,2041-05-19,2041-05-26,2042-08-22,X9
ITEM00019,Item S,Widgets,462,22,106,28.75,SUP028,2023-05-07,2023-05-14,2025-04-20,S8
ITEM00595,Item W,Components,177,88,294,36.13,SUP093,2034-05-21,2034-05-27,2035-08-08,W4
ITEM00582,Item J,Materials,226,32,188,55.14,SUP017,2034-02-19,2034-02-21,2035-08-19,J1
ITEM00568,Item V,Materials,52,21,66,22.25,SUP066,2033-11-13,2033-11-14,2035-05-01,V7
ITEM00165,Item I,Parts,323,59,225,72.76,SUP064,2026-02-22,2026-03-01,2028-01-06,I4
ITEM00170,Item N,Components,328,52,109,46.04,SUP086,2026-03-29,2026-04-04,2028-02-17,N9
ITEM00470,Item B,Components,471,17,231,62.88,SUP086,2031-12-28,2031-12-31,2033-05-04,B9
ITEM00721,Item S,Parts,356,67,124,57.97,SUP072,2036-10-19,2036-10-27,2038-03-09,S0
ITEM00428,Item L,Materials,282,69,218,13.39,SUP048,2031-03-09,2031-03-10,2032-11-13,L7
ITEM00185,Item C,Gadgets,78,38,210,64.54,SUP079,2026-07-12,2026-07-15,2027-12-14,C4
ITEM00124,Item T,Parts,19,17,77,77.31,SUP017,2025-05-11,2025-05-17,2026-10-17,T3
ITEM00487,Item S,Widgets,382,42,206,93.56,SUP006,2032-04-25,2032-05-03,2034-03-06,S6
ITEM00268,Item H,Widgets,29,94,205,18.43,SUP092,2028-02-13,2028-02-22,2029-07-27,H7
ITEM00674,Item X,Components,40,38,218,35.54,SUP039,2035-11-25,2035-12-04,2037-05-06,X3
ITEM00327,Item O,Parts,296,48,276,3.72,SUP039,2029-04-01,2029-04-02,2030-12-13,O6
ITEM00959,Item W,Parts,417,66,130,59.81,SUP041,2041-05-12,2041-05-20,2043-03-11,W8
ITEM00687,Item K,Materials,353,88,176,49.45,SUP028,2036-02-24,2036-03-01,2037-07-09,K6
ITEM00510,Item P,Widgets,245,31,215,2.14,SUP089,2032-10-03,2032-10-05,2034-01-20,P9
ITEM00081,Item C,Materials,177,96,161,89.68,SUP005,2024-07-14,2024-07-20,2026-01-25,C0
ITEM00815,Item I,Gadgets,271,32,78,76.07,SUP025,2038-08-08,2038-08-17,2040-07-09,I4
ITEM00829,Item W,Gadgets,195,73,282,14.23,SUP037,2038-11-14,2038-11-21,2040-07-15,W8
ITEM00726,Item X,Widgets,12,19,167,93.38,SUP016,2036-11-23,2036-12-02,2038-10-31,X5
ITEM00900,Item P,Parts,166,39,295,42.07,SUP001,2040-03-25,2040-03-28,2041-07-25,P9
ITEM00587,Item O,Components,259,43,50,82.02,SUP091,2034-03-26,2034-04-01,2035-06-10,O6
ITEM00735,Item G,Widgets,17,76,214,77.87,SUP021,2037-01-25,2037-01-28,2038-11-24,G4
ITEM00985,Item W,Parts,262,98,187,40.2,SUP062,2041-11-10,2041-11-18,2043-02-15,W4
ITEM00996,Item H,Gadgets,348,77,233,8.41,SUP004,2042-01-26,2042-01-28,2043-06-03,H5
ITEM00193,Item K,Components,182,52,225,83.15,SUP037,2026-09-06,2026-09-12,2028-03-15,K2
ITEM00930,Item T,Materials,392,70,265,64.78,SUP066,2040-10-21,2040-10-29,2042-08-11,T9
ITEM00910,Item Z,Gadgets,64,72,299,86.97,SUP058,2040-06-03,2040-06-07,2042-04-15,Z9
ITEM00696,Item T,Gadgets,181,53,231,42.01,SUP082,2036-04-27,2036-04-28,2038-04-25,T5
ITEM00736,Item H,Gadgets,360,58,56,61.52,SUP066,2037-02-01,2037-02-07,2038-09-06,H5
ITEM00239,Item E,Materials,280,84,238,76.35,SUP062,2027-07-25,2027-08-03,2028-12-05,E8
ITEM00178,Item V,Widgets,92,61,158,37.41,SUP095,2026-05-24,2026-05-27,2027-08-23,V7
ITEM00909,Item Y,Widgets,395,27,95,57.38,SUP080,2040-05-27,2040-05-31,2042-01-05,Y8
ITEM00335,Item W,Components,310,51,253,43.71,SUP004,2029-05-27,2029-06-02,2031-05-01,W4
ITEM00755,Item A,Parts,60,19,175,41.05,SUP064,2037-06-14,2037-06-19,2038-08-23,A4
ITEM00054,Item B,Materials,63,33,110,72.26,SUP069,2024-01-07,2024-01-10,2025-06-05,B3
ITEM00308,Item V,Components,410,61,247,95.53,SUP019,2028-11-19,2028-11-26,2030-10-29,V7
ITEM00122,Item R,Components,144,14,217,11.99,SUP096,2025-04-27,2025-05-04,2026-08-20,R1
ITEM00671,Item U,Parts,186,11,89,90.45,SUP027,2035-11-04,2035-11-08,2037-07-29,U0
ITEM00793,Item M,Components,29,22,99,5.82,SUP092,2038-03-07,2038-03-13,2039-03-31,M2
ITEM00586,Item N,Materials,241,92,94,65.75,SUP023,2034-03-19,2034-03-23,2035-04-01,N5
ITEM00480,Item L,Materials,397,30,199,25.5,SUP013,2032-03-07,2032-03-14,2033-10-06,L9
ITEM00224,Item P,Components,119,98,296,64.64,SUP051,2027-04-11,2027-04-20,2028-07-07,P3
ITEM00749,Item U,Widgets,74,62,269,21.14,SUP071,2037-05-03,2037-05-07,2038-12-08,U8
ITEM00014,Item N,Gadgets,287,84,203,88.56,SUP053,2023-04-02,2023-04-06,2024-06-08,N3
ITEM00894,Item J,Components,273,58,103,70.91,SUP004,2040-02-12,2040-02-19,2041-07-12,J3
ITEM00023,Item W,Components,267,64,131,55.36,SUP100,2023-06-04,2023-06-09,2024-08-23,W2
ITEM00451,Item I,Parts,402,17,221,61.98,SUP068,2031-08-17,2031-08-26,2033-02-24,I0
ITEM00414,Item X,Components,268,41,282,94.97,SUP092,2030-12-01,2030-12-09,2032-02-02,X3
ITEM00681,Item E,Materials,262,43,256,2.31,SUP082,2036-01-13,2036-01-21,2037-06-22,E0
ITEM00349,Item K,Gadgets,467,95,140,54.91,SUP018,2029-09-02,2029-09-08,2030-12-10,K8
ITEM00143,Item M,Components,55,29,172,6.17,SUP087,2025-09-21,2025-09-30,2027-04-06,M2
ITEM00830,Item X,Widgets,337,98,98,44.94,SUP020,2038-11-21,2038-11-28,2039-12-31,X9
ITEM00028,Item B,Gadgets,405,41,214,10.99,SUP011,2023-07-09,2023-07-16,2024-10-25,B7
ITEM00957,Item U,Materials,461,10,222,74.32,SUP084,2041-04-28,2041-05-06,2042-10-13,U6
ITEM00324,Item L,Widgets,29,84,192,90.32,SUP019,2029-03-11,2029-03-14,2031-03-02,L3
ITEM00938,Item B,Widgets,377,28,291,5.19,SUP090,2040-12-16,2040-12-20,2042-08-05,B7
ITEM00961,Item Y,Components,116,50,274,7.59,SUP082,2041-05-26,2041-05-31,2043-04-19,Y0
ITEM00514,Item T,Components,440,69,259,55.23,SUP046,2032-10-31,2032-11-03,2034-05-27,T3
ITEM00145,Item O,Components,131,11,220,47.35,SUP049,2025-10-05,2025-10-14,2027-01-26,O4
ITEM00948,Item L,Components,202,30,288,68.88,SUP002,2041-02-24,2041-03-04,2042-08-22,L7
ITEM00512,Item R,Components,185,24,263,97.73,SUP077,2032-10-17,2032-10-23,2034-04-02,R1
ITEM00089,Item K,Components,469,47,217,13.86,SUP095,2024-09-08,2024-09-14,2025-10-08,K8
ITEM00036,Item J,Materials,319,46,189,71.3,SUP040,2023-09-03,2023-09-05,2024-10-23,J5
ITEM00751,Item W,Components,224,25,220,29.27,SUP021,2037-05-17,2037-05-23,2039-01-13,W0
ITEM00603,Item E,Materials,490,71,152,38.95,SUP018,2034-07-16,2034-07-18,2035-08-27,E2
ITEM00382,Item R,Materials,354,31,77,44.31,SUP059,2030-04-21,2030-04-29,2032-04-04,R1
ITEM00504,Item J,Parts,302,35,140,78.74,SUP040,2032-08-22,2032-08-26,2034-02-12,J3
ITEM00946,Item J,Parts,148,93,228,45.9,SUP078,2041-02-10,2041-02-19,2042-05-01,J5
ITEM00485,Item Q,Widgets,426,81,69,19.95,SUP017,2032-04-11,2032-04-15,2034-01-30,Q4
ITEM00055,Item C,Parts,244,29,147,86.83,SUP054,2024-01-14,2024-01-21,2025-04-30,C4
ITEM00128,Item X,Components,371,66,115,55.65,SUP046,2025-06-08,2025-06-10,2026-09-16,X7
ITEM00355,Item Q,Gadgets,365,97,149,63.97,SUP017,2029-10-14,2029-10-23,2031-08-09,Q4
ITEM00140,Item J,Materials,385,88,229,13.45,SUP073,2025-08-31,2025-09-07,2027-05-24,J9
ITEM00370,Item F,Materials,42,98,151,29.71,SUP035,2030-01-27,2030-01-29,2031-06-25,F9
ITEM00660,Item J,Parts,284,38,52,8.59,SUP054,2035-08-19,2035-08-23,2036-11-11,J9
ITEM00342,Item D,Components,69,10,259,43.58,SUP029,2029-07-15,2029-07-21,2030-08-03,D1
ITEM00184,Item B,Gadgets,88,17,279,23.1,SUP084,2026-07-05,2026-07-13,2027-11-19,B3
ITEM00475,Item G,Parts,497,32,154,31.97,SUP076,2032-02-01,2032-02-08,2033-05-29,G4
ITEM00545,Item Y,Widgets,305,75,239,53.05,SUP053,2033-06-05,2033-06-09,2034-09-25,Y4
ITEM00426,Item J,Gadgets,401,69,159,80.55,SUP031,2031-02-23,2031-02-26,2032-08-25,J5
ITEM00080,Item B,Components,161,17,193,59.76,SUP015,2024-07-07,2024-07-10,2025-08-13,B9
ITEM00765,Item K,Gadgets,242,98,165,18.99,SUP026,2037-08-23,2037-08-24,2038-11-15,K4
ITEM00196,Item N,Parts,223,91,53,21.5,SUP030,2026-09-27,2026-09-30,2027-12-13,N5
ITEM00790,Item J,Widgets,381,98,268,63.57,SUP051,2038-02-14,2038-02-21,2039-04-12,J9
ITEM00991,Item C,Gadgets,370,65,253,42.21,SUP006,2041-12-22,2041-12-25,2043-04-11,C0
ITEM00159,Item C,Widgets,391,21,134,94.94,SUP057,2026-01-11,2026-01-18,2027-04-01,C8
ITEM00180,Item X,Widgets,264,59,76,44.12,SUP031,2026-06-07,2026-06-08,2028-03-09,X9
ITEM00077,Item Y,Widgets,180,30,115,19.71,SUP043,2024-06-16,2024-06-24,2026-02-19,Y6
ITEM00035,Item I,Parts,1,31,177,15.37,SUP091,2023-08-27,2023-09-04,2025-01-15,I4
ITEM00783,Item C,Widgets,175,17,53,5.49,SUP097,2037-12-27,2038-01-05,2039-10-09,C2
ITEM00030,Item D,Components,110,53,98,68.49,SUP061,2023-07-23,2023-07-24,2025-05-19,D9
ITEM00357,Item S,Components,482,81,121,30.23,SUP088,2029-10-28,2029-11-04,2031-09-05,S6
ITEM00574,Item B,Parts,63,27,232,9.35,SUP057,2033-12-25,2033-12-29,2035-01-29,B3
ITEM00602,Item D,Components,379,37,139,88.61,SUP005,2034-07-09,2034-07-18,2036-02-10,D1
ITEM00750,Item V,Parts,233,41,212,13.61,SUP064,2037-05-10,2037-05-19,2038-08-24,V9
ITEM00669,Item S,Gadgets,349,50,193,23.95,SUP058,2035-10-21,2035-10-28,2037-02-10,S8
ITEM00056,Item D,Widgets,25,46,77,45.94,SUP054,2024-01-21,2024-01-30,2025-10-01,D5
ITEM00318,Item F,Gadgets,193,11,116,62.58,SUP027,2029-01-28,2029-02-06,2030-10-10,F7
ITEM00360,Item V,Materials,450,58,196,10.41,SUP023,2029-11-18,2029-11-19,2031-03-11,V9
ITEM00931,Item U,Gadgets,267,19,200,97.45,SUP021,2040-10-28,2040-11-05,2042-01-07,U0
ITEM00164,Item H,Widgets,247,98,192,27.4,SUP080,2026-02-15,2026-02-23,2027-10-26,H3
ITEM00254,Item T,Parts,9,98,157,14.56,SUP062,2027-11-07,2027-11-12,2029-01-03,T3
ITEM00569,Item W,Components,260,41,137,66.83,SUP070,2033-11-20,2033-11-21,2035-05-08,W8
ITEM00011,Item K,Components,106,50,248,93.77,SUP052,2023-03-12,2023-03-16,2024-12-21,K0
ITEM00217,Item I,Components,197,75,211,84.87,SUP041,2027-02-21,2027-02-23,2028-07-15,I6
ITEM00350,Item L,Materials,227,18,147,21.24,SUP042,2029-09-09,2029-09-15,2030-12-16,L9
ITEM00177,Item U,Parts,97,54,180,38.88,SUP068,2026-05-17,2026-05-20,2027-12-28,U6
ITEM00596,Item X,Materials,9,82,158,43.05,SUP072,2034-05-28,2034-06-03,2035-09-25,X5
ITEM00138,Item H,Gadgets,319,65,55,40.08,SUP049,2025-08-17,2025-08-21,2026-11-21,H7
ITEM00434,Item R,Parts,335,17,111,22.13,SUP088,2031-04-20,2031-04-27,2032-12-29,R3
ITEM00997,Item I,Widgets,318,59,79,44.41,SUP082,2042-02-02,2042-02-05,2043-11-13,I6
ITEM00714,Item L,Parts,160,20,205,87.28,SUP074,2036-08-31,2036-09-06,2037-09-30,L3
ITEM00814,Item H,Widgets,39,28,162,54.62,SUP052,2038-08-01,2038-08-03,2040-01-03,H3
ITEM00303,Item Q,Widgets,309,95,217,89.57,SUP077,2028-10-15,2028-10-24,2030-01-26,Q2
ITEM00573,Item A,Parts,349,29,216,89.12,SUP020,2033-12-18,2033-12-26,2035-11-04,A2
ITEM00345,Item G,Gadgets,250,56,183,40.69,SUP051,2029-08-05,2029-08-14,2031-03-10,G4
ITEM00046,Item T,Widgets,137,88,298,84.38,SUP025,2023-11-12,2023-11-13,2024-12-02,T5
ITEM00679,Item C,Materials,237,37,104,46.72,SUP036,2035-12-30,2036-01-04,2037-01-28,C8
ITEM00804,Item X,Materials,26,97,86,39.28,SUP058,2038-05-23,2038-05-24,2039-10-13,X3
ITEM00065,Item M,Gadgets,347,75,247,56.77,SUP078,2024-03-24,2024-03-25,2025-11-28,M4
ITEM00482,Item N,Components,161,79,70,19.5,SUP004,2032-03-21,2032-03-22,2033-12-24,N1
ITEM00650,Item Z,Gadgets,251,72,254,72.34,SUP053,2035-06-10,2035-06-17,2036-11-11,Z9
ITEM00339,Item A,Materials,152,77,148,33.31,SUP076,2029-06-24,2029-06-27,2031-01-04,A8
ITEM00366,Item B,Materials,217,28,217,82.65,SUP015,2029-12-30,2030-01-07,2031-12-22,B5
ITEM00010,Item J,Materials,127,12,225,1.56,SUP074,2023-03-05,2023-03-09,2024-05-31,J9
ITEM00402,Item L,Materials,479,76,258,54.7,SUP036,2030-09-08,2030-09-13,2031-10-14,L1
ITEM00851,Item S,Parts,15,84,70,77.59,SUP035,2039-04-17,2039-04-18,2040-07-06,S0
ITEM00592,Item T,Widgets,54,59,121,2.57,SUP084,2034-04-30,2034-05-09,2035-09-11,T1
ITEM00889,Item E,Gadgets,15,28,113,8.94,SUP048,2040-01-08,2040-01-15,2041-07-21,E8
ITEM00640,Item P,Materials,25,99,90,28.82,SUP007,2035-04-01,2035-04-05,2036-08-18,P9
ITEM00421,Item E,Gadgets,47,79,269,97.27,SUP028,2031-01-19,2031-01-22,2032-07-10,E0
ITEM00113,Item I,Materials,211,20,262,27.63,SUP079,2025-02-23,2025-03-03,2026-12-01,I2
ITEM00464,Item V,Gadgets,131,64,57,71.73,SUP078,2031-11-16,2031-11-25,2033-10-05,V3
ITEM00033,Item G,Components,471,27,138,24.98,SUP093,2023-08-13,2023-08-20,2025-02-02,G2
ITEM00659,Item I,Widgets,461,61,77,74.51,SUP093,2035-08-12,2035-08-17,2036-09-29,I8
ITEM00978,Item P,Gadgets,360,44,273,60.7,SUP009,2041-09-22,2041-09-30,2043-01-19,P7
ITEM00613,Item O,Materials,486,45,286,43.32,SUP044,2034-09-24,2034-09-27,2036-01-31,O2
