SaleID,CustomerID,SaleDate,SaleAmount,ProductID,QuantitySold,UnitPrice,TotalValue,PaymentMethod,SaleStatus,Customer ID,Invoice Date,Invoice Amount,Due Date,Payment Date,Payment Amount,Payment Terms,Invoice Status,TransactionID,TransactionDate,TransactionType,Amount,Category,Description
SALE00044,CUST084,2023-02-13,19838,PROD0441,238,162.86,38760.68000000001,Bank Transfer,Pending,CUST084,2023-04-11 07:27:54,38249.73,2023-05-13 16:01:19,2023-02-21 04:00:22,47072.64,Net 60,Paid,TXN00044,2023-02-13,Cash Outflow,111608,Investing Activities,Transaction 44
SALE00045,CUST076,2023-02-14,31050,PROD0148,180,167.16,30088.800000000003,Cash,Completed,CUST076,2023-04-29 13:29:05,61813.47,2023-10-20 17:00:23,2023-06-02 09:04:45,57332.7,Net 90,Outstanding,TXN00045,2023-02-14,Cash Outflow,64970,Financing Activities,Transaction 45
SALE00046,CUST033,2023-02-15,38064,PROD0009,240,364.97,87592.8,Bank Transfer,Pending,CUST033,2023-09-27 17:46:33,38304.8,2023-10-23 00:26:42,2023-03-13 08:15:28,42288.35,Net 30,Outstanding,TXN00046,2023-02-15,Cash Outflow,20384,Operating Activities,Transaction 46
SALE00047,CUST028,2023-02-16,21989,PROD0288,165,375.46,61950.899999999994,Credit Card,Pending,CUST028,2023-09-12 17:54:08,40126.62,2023-01-11 07:09:55,2023-06-23 11:32:02,49207.75,Net 60,Outstanding,TXN00047,2023-02-16,Cash Outflow,141218,Investing Activities,Transaction 47
SALE00048,CUST008,2023-02-17,101842,PROD0388,351,108.18,37971.18,Bank Transfer,Completed,CUST008,2023-09-15 21:15:38,78145.97,2023-07-07 18:46:06,2023-08-07 23:03:40,68514.32,Net 60,Paid,TXN00048,2023-02-17,Cash Inflow,228800,Financing Activities,Transaction 48
SALE00049,CUST001,2023-02-18,15037,PROD0050,374,435.38,162832.12,Bank Transfer,Pending,CUST001,2023-01-19 03:13:53,34792.41,2023-09-16 23:10:00,2023-11-15 22:11:25,34519.6,Net 60,Paid,TXN00049,2023-02-18,Cash Outflow,55484,Investing Activities,Transaction 49
SALE00050,CUST037,2023-02-19,11396,PROD0338,266,360.31,95842.46,Credit Card,Pending,CUST037,2023-01-09 10:59:34,39262.39,2023-01-18 11:01:02,2023-12-05 18:25:39,38088.11,Net 60,Paid,TXN00050,2023-02-19,Cash Outflow,38332,Operating Activities,Transaction 50
SALE00051,CUST063,2023-02-20,68964,PROD0005,198,285.75,56578.5,Bank Transfer,Completed,CUST063,2023-06-25 09:47:07,18569.989999999998,2023-09-13 01:44:46,2023-07-06 07:21:31,27450.88,Net 30,Paid,TXN00051,2023-02-20,Cash Inflow,79650,Financing Activities,Transaction 51
SALE00052,CUST022,2023-02-21,29248,PROD0404,192,241.05,46281.600000000006,Bank Transfer,Completed,CUST022,2023-02-07 15:35:30,45090.32,2023-04-15 13:43:15,2023-06-02 18:48:59,47396.95,Net 90,Paid,TXN00052,2023-02-21,Cash Outflow,84120,Operating Activities,Transaction 52
SALE00053,CUST070,2023-02-22,39900,PROD0343,150,276.18,41427.0,Cash,Pending,CUST070,2023-02-15 14:04:40,65922.88,2023-04-21 02:47:20,2023-11-06 23:48:04,54766.74,Net 90,Paid,TXN00053,2023-02-22,Cash Inflow,39190,Operating Activities,Transaction 53
SALE00054,CUST021,2023-02-23,134070,PROD0126,450,88.03,39613.5,Cash,Completed,CUST021,2023-04-02 00:10:16,89729.16,2023-07-09 01:14:47,2023-10-16 23:49:10,79997.27,Net 60,Paid,TXN00054,2023-02-23,Cash Outflow,223950,Investing Activities,Transaction 54
SALE00055,CUST096,2023-02-24,245752,PROD0075,714,109.81,78404.34000000001,Credit Card,Pending,CUST096,2023-02-02 14:29:12,98274.66,2023-05-11 17:02:36,2023-04-10 11:27:35,96684.33,Net 60,Paid,TXN00055,2023-02-24,Cash Inflow,131563,Financing Activities,Transaction 55
SALE00056,CUST035,2023-02-25,111800,PROD0165,170,54.67,9293.9,Credit Card,Completed,CUST035,2023-04-08 09:20:20,55332.61,2023-10-16 13:49:11,2023-10-21 12:52:56,47434.53,Net 30,Paid,TXN00056,2023-02-25,Cash Outflow,149890,Operating Activities,Transaction 56
SALE00057,CUST079,2023-02-26,87612,PROD0278,30,85.29,2558.7000000000007,Credit Card,Pending,CUST079,2023-09-11 04:17:06,26711.420000000002,2023-07-19 22:43:21,2023-01-24 01:12:20,20850.58,Net 60,Paid,TXN00057,2023-02-26,Cash Outflow,102798,Operating Activities,Transaction 57
SALE00058,CUST005,2023-02-27,49437,PROD0442,261,232.31,60632.909999999996,Cash,Completed,CUST005,2023-04-30 14:49:43,40888.37,2023-04-05 19:18:43,2023-06-24 05:00:53,61127.29,Net 90,Paid,TXN00058,2023-02-27,Cash Inflow,97713,Financing Activities,Transaction 58
SALE00059,CUST060,2023-02-28,96543,PROD0324,36,269.87,9715.32,Credit Card,Pending,CUST060,2023-08-27 02:09:23,52121.03,2023-03-24 06:13:01,2023-01-11 04:41:03,56456.240000000005,Net 30,Paid,TXN00059,2023-02-28,Cash Inflow,158886,Operating Activities,Transaction 59
SALE00060,CUST046,2023-03-01,62244,PROD0477,70,18.75,1312.5,Credit Card,Pending,CUST046,2023-09-06 13:39:00,26529.85,2023-12-20 19:02:13,2023-12-07 18:58:07,30986.059999999998,Net 90,Outstanding,TXN00060,2023-03-01,Cash Inflow,34041,Operating Activities,Transaction 60
SALE00061,CUST050,2023-03-02,149170,PROD0300,238,400.43,95302.34000000001,Credit Card,Pending,CUST050,2023-08-28 11:57:50,78683.42,2023-08-10 07:49:58,2023-08-24 11:03:20,81790.71,Net 30,Outstanding,TXN00061,2023-03-02,Cash Inflow,149464,Financing Activities,Transaction 61
SALE00062,CUST048,2023-03-03,113883,PROD0290,110,154.14,16955.4,Cash,Completed,CUST048,2023-04-02 00:55:22,60478.92,2023-03-03 17:41:53,2023-08-19 10:01:29,56313.81,Net 30,Paid,TXN00062,2023-03-03,Cash Inflow,197571,Financing Activities,Transaction 62
SALE00063,CUST006,2023-03-04,68264,PROD0077,136,456.8,62124.8,Bank Transfer,Completed,CUST006,2023-04-11 00:28:30,28230.760000000002,2023-08-06 04:48:55,2023-05-13 06:38:43,31346.010000000002,Net 60,Outstanding,TXN00063,2023-03-04,Cash Inflow,71416,Financing Activities,Transaction 63
SALE00064,CUST089,2023-03-05,61998,PROD0298,120,484.08,58089.600000000006,Credit Card,Pending,CUST089,2023-11-25 10:09:36,42695.1,2023-02-14 03:33:38,2023-10-06 14:12:42,24343.09,Net 60,Outstanding,TXN00064,2023-03-05,Cash Inflow,54480,Financing Activities,Transaction 64
SALE00065,CUST056,2023-03-06,77812,PROD0137,168,100.87,16946.16,Bank Transfer,Pending,CUST056,2023-02-01 13:42:32,45588.270000000004,2023-06-03 18:13:08,2023-01-31 15:30:04,45956.3,Net 90,Paid,TXN00065,2023-03-06,Cash Inflow,37506,Investing Activities,Transaction 65
SALE00066,CUST059,2023-03-07,83743,PROD0106,55,236.43,13003.650000000001,Credit Card,Completed,CUST059,2023-03-16 00:12:35,61055.39,2023-11-16 00:36:36,2023-12-04 13:11:28,62485.46,Net 90,Outstanding,TXN00066,2023-03-07,Cash Outflow,115940,Financing Activities,Transaction 66
SALE00067,CUST029,2023-03-08,21696,PROD0095,272,10.6,2883.2,Bank Transfer,Completed,CUST029,2023-02-08 10:59:59,29938.3,2023-07-21 05:22:56,2023-08-10 02:35:55,37134.09,Net 30,Paid,TXN00067,2023-03-08,Cash Outflow,157584,Investing Activities,Transaction 67
SALE00068,CUST071,2023-03-09,71410,PROD0135,60,303.18,18190.8,Cash,Completed,CUST071,2023-07-21 20:43:43,47666.2,2023-12-14 14:25:57,2023-11-06 02:22:59,52730.51,Net 60,Outstanding,TXN00068,2023-03-09,Cash Inflow,157540,Investing Activities,Transaction 68
SALE00069,CUST077,2023-03-10,77240,PROD0068,16,307.58,4921.28,Cash,Completed,CUST077,2023-03-13 19:06:14,54351.72,2023-08-06 23:43:21,2023-05-07 14:02:16,47617.9,Net 60,Outstanding,TXN00069,2023-03-10,Cash Outflow,95760,Investing Activities,Transaction 69
SALE00070,CUST018,2023-03-11,69685,PROD0147,143,131.29,18774.47,Credit Card,Completed,CUST018,2023-12-18 18:13:51,55292.41,2023-10-19 10:12:28,2023-07-23 13:36:57,58203.32,Net 30,Outstanding,TXN00070,2023-03-11,Cash Outflow,19272,Operating Activities,Transaction 70
SALE00071,CUST002,2023-03-12,39102,PROD0490,301,283.62,85369.62,Bank Transfer,Completed,CUST002,2023-03-20 10:16:17,43494.44,2023-05-23 04:07:55,2023-01-08 00:56:00,36240.490000000005,Net 30,Outstanding,TXN00071,2023-03-12,Cash Outflow,52472,Investing Activities,Transaction 71
SALE00072,CUST008,2023-03-13,93587,PROD0478,559,120.51,67365.09,Cash,Pending,CUST008,2023-09-15 21:15:38,78145.97,2023-07-07 18:46:06,2023-08-07 23:03:40,68514.32,Net 60,Paid,TXN00072,2023-03-13,Cash Outflow,164749,Investing Activities,Transaction 72
SALE00073,CUST075,2023-03-14,68390,PROD0159,336,88.8,29836.799999999996,Credit Card,Completed,CUST075,2023-04-04 22:33:34,33891.44,2023-01-17 19:51:47,2023-04-16 11:44:26,32391.100000000002,Net 90,Outstanding,TXN00073,2023-03-14,Cash Inflow,36211,Operating Activities,Transaction 73
SALE00074,CUST097,2023-03-15,86784,PROD0384,88,329.24,28973.12,Credit Card,Pending,CUST097,2023-11-18 17:43:04,35166.01,2023-03-13 15:53:44,2023-03-19 23:24:32,33720.88,Net 90,Outstanding,TXN00074,2023-03-15,Cash Outflow,130248,Operating Activities,Transaction 74
SALE00075,CUST054,2023-03-16,6125,PROD0163,329,169.7,55831.299999999996,Cash,Completed,CUST054,2023-02-27 08:23:03,39563.22,2023-02-20 04:56:52,2023-12-20 19:10:02,49626.28,Net 30,Outstanding,TXN00075,2023-03-16,Cash Inflow,94857,Operating Activities,Transaction 75
SALE00076,CUST038,2023-03-17,184590,PROD0441,345,299.23,103234.35,Cash,Completed,CUST038,2023-08-17 08:05:56,77342.49,2023-04-26 12:38:49,2023-08-09 22:21:56,80071.72,Net 30,Outstanding,TXN00076,2023-03-17,Cash Outflow,110715,Financing Activities,Transaction 76
SALE00077,CUST048,2023-03-18,91586,PROD0341,176,222.29,39123.04,Credit Card,Pending,CUST048,2023-04-02 00:55:22,60478.92,2023-03-03 17:41:53,2023-08-19 10:01:29,56313.81,Net 30,Paid,TXN00077,2023-03-18,Cash Outflow,81939,Operating Activities,Transaction 77
SALE00078,CUST027,2023-03-19,204974,PROD0189,434,492.33,213671.22,Bank Transfer,Pending,CUST027,2023-08-02 18:43:38,84024.76,2023-11-27 12:19:32,2023-06-03 23:17:51,75951.49,Net 90,Outstanding,TXN00078,2023-03-19,Cash Outflow,140294,Operating Activities,Transaction 78
SALE00079,CUST020,2023-03-20,29268,PROD0415,99,83.29,8245.710000000001,Bank Transfer,Completed,CUST020,2023-10-11 22:27:57,52941.2,2023-12-13 10:14:23,2023-11-16 19:25:01,36576.92,Net 30,Paid,TXN00079,2023-03-20,Cash Inflow,76653,Investing Activities,Transaction 79
SALE00080,CUST012,2023-03-21,133211,PROD0339,208,237.65,49431.200000000004,Bank Transfer,Pending,CUST012,2023-03-20 01:11:23,64339.85,2023-05-14 13:10:16,2023-07-25 13:38:27,71643.98,Net 90,Paid,TXN00080,2023-03-21,Cash Outflow,96733,Operating Activities,Transaction 80
SALE00081,CUST043,2023-03-22,20220,PROD0095,96,343.42,32968.32,Credit Card,Pending,CUST043,2023-09-14 20:44:46,59017.54,2023-11-11 00:20:44,2023-03-06 03:54:56,55338.5,Net 60,Outstanding,TXN00081,2023-03-22,Cash Inflow,128508,Financing Activities,Transaction 81
SALE00082,CUST061,2023-03-23,40430,PROD0181,40,203.82,8152.799999999999,Cash,Pending,CUST061,2023-06-28 03:43:27,49205.41,2023-08-15 17:51:47,2023-01-15 02:23:41,60727.63,Net 90,Outstanding,TXN00082,2023-03-23,Cash Outflow,182150,Operating Activities,Transaction 82
SALE00083,CUST031,2023-03-24,76550,PROD0288,400,487.6,195040.0,Credit Card,Pending,CUST031,2023-03-29 07:03:38,53154.81,2023-10-11 05:13:11,2023-05-25 08:46:44,42778.22,Net 90,Outstanding,TXN00083,2023-03-24,Cash Inflow,100500,Financing Activities,Transaction 83
SALE00084,CUST091,2023-03-25,47595,PROD0322,60,363.72,21823.2,Cash,Completed,CUST091,2023-01-23 06:03:38,86177.92,2023-07-31 23:50:47,2023-11-08 05:25:58,94357.38,Net 90,Paid,TXN00084,2023-03-25,Cash Outflow,77055,Operating Activities,Transaction 84
SALE00085,CUST096,2023-03-26,19057,PROD0187,425,331.92,141066.0,Bank Transfer,Pending,CUST096,2023-02-02 14:29:12,98274.66,2023-05-11 17:02:36,2023-04-10 11:27:35,96684.33,Net 60,Paid,TXN00085,2023-03-26,Cash Inflow,91018,Operating Activities,Transaction 85
SALE00086,CUST061,2023-03-27,117530,PROD0372,30,380.96,11428.800000000001,Bank Transfer,Completed,CUST061,2023-06-28 03:43:27,49205.41,2023-08-15 17:51:47,2023-01-15 02:23:41,60727.63,Net 90,Outstanding,TXN00086,2023-03-27,Cash Inflow,108200,Operating Activities,Transaction 86
SALE00087,CUST074,2023-03-28,65430,PROD0138,192,476.8,91545.6,Cash,Completed,CUST074,2023-05-15 19:55:21,29881.460000000003,2023-04-13 00:12:57,2023-07-10 18:30:46,27693.14,Net 30,Outstanding,TXN00087,2023-03-28,Cash Outflow,114384,Operating Activities,Transaction 87
SALE00088,CUST067,2023-03-29,108136,PROD0130,24,454.83,10915.92,Cash,Completed,CUST067,2023-08-13 07:52:58,39448.68,2023-06-17 06:52:49,2023-07-15 21:24:58,34502.35,Net 30,Outstanding,TXN00088,2023-03-29,Cash Inflow,43136,Financing Activities,Transaction 88
SALE00089,CUST091,2023-03-30,59145,PROD0194,405,364.9,147784.5,Credit Card,Completed,CUST091,2023-01-23 06:03:38,86177.92,2023-07-31 23:50:47,2023-11-08 05:25:58,94357.38,Net 90,Paid,TXN00089,2023-03-30,Cash Outflow,113145,Financing Activities,Transaction 89
SALE00090,CUST035,2023-03-31,80890,PROD0316,290,377.09,109356.1,Bank Transfer,Pending,CUST035,2023-04-08 09:20:20,55332.61,2023-10-16 13:49:11,2023-10-21 12:52:56,47434.53,Net 30,Paid,TXN00090,2023-03-31,Cash Outflow,170210,Investing Activities,Transaction 90
