InvoiceNumber,SupplierID,InvoiceDate,InvoiceAmount,DueDate,PaymentDate,PaymentAmount,PaymentTerms,InvoiceStatus,DaysToPay
INV00184,SUP029,2023-07-03,6728,2023-08-04,2023-08-08,6728,Net 60,Pending,36
INV00878,SUP058,2025-05-27,7241,2025-07-12,2025-07-16,7241,Net 60,Pending,50
INV00174,SUP079,2023-06-23,7754,2023-08-19,2023-08-20,7754,Net 45,Pending,58
INV00231,SUP079,2023-08-19,462,2023-09-19,2023-09-23,462,Net 30,Paid,35
INV00406,SUP011,2024-02-10,3872,2024-03-28,2024-04-05,3872,Net 30,Paid,55
INV00910,SUP032,2025-06-28,5020,2025-08-10,2025-08-16,5020,Net 30,Paid,49
INV00139,SUP061,2023-05-19,4836,2023-06-20,2023-06-29,4836,Net 45,Pending,41
INV00460,SUP089,2024-04-04,3573,2024-05-10,2024-05-18,3573,Net 45,Paid,44
INV00947,SUP031,2025-08-04,1122,2025-09-28,2025-10-02,1122,Net 60,Paid,59
INV00602,SUP021,2024-08-24,5845,2024-10-16,2024-10-18,5845,Net 30,Pending,55
INV00319,SUP020,2023-11-15,6909,2023-12-23,2023-12-31,6909,Net 60,Pending,46
INV00790,SUP010,2025-02-28,6706,2025-04-25,2025-04-25,6706,Net 30,Pending,56
INV00133,SUP062,2023-05-13,1957,2023-07-10,2023-07-15,1957,Net 30,Paid,63
INV00290,SUP059,2023-10-17,9207,2023-12-02,2023-12-11,9207,Net 60,Paid,55
INV00371,SUP008,2024-01-06,3251,2024-02-10,2024-02-16,3251,Net 30,Paid,41
INV00603,SUP055,2024-08-25,3686,2024-10-21,2024-10-27,3686,Net 60,Paid,63
INV00771,SUP046,2025-02-09,4343,2025-04-06,2025-04-08,4343,Net 60,Pending,58
INV00725,SUP020,2024-12-25,3672,2025-02-10,2025-02-13,3672,Net 60,Paid,50
INV00023,SUP057,2023-01-23,9474,2023-03-02,2023-03-11,9474,Net 60,Pending,47
INV00868,SUP015,2025-05-17,2117,2025-06-16,2025-06-17,2117,Net 45,Paid,31
INV00845,SUP079,2025-04-24,5542,2025-06-17,2025-06-22,5542,Net 30,Paid,59
INV00100,SUP062,2023-04-10,3299,2023-05-26,2023-05-30,3299,Net 60,Paid,50
INV00516,SUP077,2024-05-30,7466,2024-07-05,2024-07-11,7466,Net 60,Pending,42
INV00106,SUP011,2023-04-16,9196,2023-05-16,2023-05-19,9196,Net 30,Paid,33
INV00632,SUP078,2024-09-23,8091,2024-10-30,2024-11-02,8091,Net 45,Pending,40
INV00120,SUP011,2023-04-30,406,2023-06-21,2023-06-27,406,Net 60,Pending,58
INV00425,SUP082,2024-02-29,6684,2024-04-09,2024-04-18,6684,Net 45,Paid,49
INV00560,SUP042,2024-07-13,9547,2024-09-07,2024-09-14,9547,Net 45,Paid,63
INV00479,SUP085,2024-04-23,9067,2024-05-29,2024-06-07,9067,Net 30,Paid,45
INV00682,SUP049,2024-11-12,5176,2024-12-25,2024-12-30,5176,Net 60,Pending,48
INV00971,SUP004,2025-08-28,7098,2025-10-04,2025-10-08,7098,Net 45,Paid,41
INV00512,SUP004,2024-05-26,5146,2024-06-29,2024-07-05,5146,Net 60,Pending,40
INV00821,SUP061,2025-03-31,8143,2025-05-06,2025-05-10,8143,Net 30,Pending,40
INV00768,SUP015,2025-02-06,5440,2025-03-27,2025-03-29,5440,Net 60,Paid,51
INV00535,SUP057,2024-06-18,8210,2024-07-30,2024-08-03,8210,Net 30,Paid,46
INV00690,SUP081,2024-11-20,1277,2025-01-12,2025-01-18,1277,Net 30,Pending,59
INV00343,SUP029,2023-12-09,8916,2024-01-13,2024-01-14,8916,Net 45,Paid,36
INV00061,SUP031,2023-03-02,9892,2023-04-17,2023-04-24,9892,Net 60,Pending,53
INV00074,SUP096,2023-03-15,8116,2023-04-26,2023-05-03,8116,Net 60,Paid,49
INV00488,SUP083,2024-05-02,5304,2024-06-24,2024-06-26,5304,Net 30,Pending,55
INV00850,SUP080,2025-04-29,6166,2025-06-18,2025-06-27,6166,Net 45,Paid,59
INV00013,SUP057,2023-01-13,7149,2023-03-04,2023-03-07,7149,Net 60,Paid,53
INV00629,SUP015,2024-09-20,7512,2024-11-12,2024-11-13,7512,Net 45,Pending,54
INV00002,SUP083,2023-01-02,1060,2023-02-14,2023-02-23,1060,Net 30,Paid,52
INV00140,SUP001,2023-05-20,1259,2023-07-07,2023-07-08,1259,Net 30,Pending,49
INV00620,SUP054,2024-09-11,3919,2024-10-27,2024-10-29,3919,Net 30,Pending,48
INV00583,SUP013,2024-08-05,704,2024-09-27,2024-10-03,704,Net 60,Pending,59
INV00005,SUP041,2023-01-05,5934,2023-02-26,2023-03-02,5934,Net 45,Paid,56
INV00974,SUP006,2025-08-31,5979,2025-10-20,2025-10-29,5979,Net 45,Paid,59
INV00565,SUP054,2024-07-18,6788,2024-09-15,2024-09-15,6788,Net 45,Paid,59
INV00242,SUP061,2023-08-30,2455,2023-09-30,2023-10-08,2455,Net 45,Pending,39
INV00547,SUP093,2024-06-30,7138,2024-08-04,2024-08-07,7138,Net 30,Pending,38
INV00751,SUP087,2025-01-20,871,2025-02-20,2025-02-28,871,Net 30,Paid,39
INV00081,SUP029,2023-03-22,8771,2023-05-20,2023-05-24,8771,Net 45,Pending,63
INV00286,SUP044,2023-10-13,7222,2023-11-22,2023-11-30,7222,Net 30,Pending,48
INV00816,SUP090,2025-03-26,432,2025-05-09,2025-05-13,432,Net 45,Pending,48
INV00645,SUP017,2024-10-06,9189,2024-12-01,2024-12-08,9189,Net 30,Paid,63
INV00986,SUP011,2025-09-12,4651,2025-11-07,2025-11-16,4651,Net 45,Pending,65
INV00760,SUP089,2025-01-29,7181,2025-03-22,2025-03-31,7181,Net 60,Paid,61
INV00925,SUP014,2025-07-13,4870,2025-08-20,2025-08-21,4870,Net 45,Paid,39
INV00889,SUP070,2025-06-07,8184,2025-07-16,2025-07-18,8184,Net 30,Pending,41
INV00497,SUP068,2024-05-11,6117,2024-06-10,2024-06-17,6117,Net 60,Paid,37
INV00329,SUP066,2023-11-25,8006,2024-01-22,2024-01-25,8006,Net 45,Paid,61
INV00433,SUP011,2024-03-08,2689,2024-04-30,2024-05-05,2689,Net 60,Paid,58
INV00412,SUP060,2024-02-16,7204,2024-04-12,2024-04-14,7204,Net 30,Paid,58
INV00315,SUP043,2023-11-11,3594,2024-01-06,2024-01-08,3594,Net 30,Paid,58
INV00157,SUP023,2023-06-06,7726,2023-07-26,2023-07-27,7726,Net 60,Paid,51
INV00710,SUP038,2024-12-10,7202,2025-01-12,2025-01-13,7202,Net 60,Pending,34
INV00652,SUP023,2024-10-13,7649,2024-12-02,2024-12-06,7649,Net 45,Paid,54
INV00813,SUP092,2025-03-23,9995,2025-05-20,2025-05-29,9995,Net 60,Paid,67
INV00930,SUP059,2025-07-18,1448,2025-09-03,2025-09-08,1448,Net 45,Paid,52
INV00859,SUP038,2025-05-08,9533,2025-06-24,2025-06-25,9533,Net 45,Paid,48
INV00010,SUP053,2023-01-10,8522,2023-02-27,2023-02-27,8522,Net 45,Pending,48
INV00191,SUP097,2023-07-10,3710,2023-08-14,2023-08-14,3710,Net 60,Pending,35
INV00455,SUP056,2024-03-30,1266,2024-05-11,2024-05-14,1266,Net 60,Pending,45
INV00948,SUP073,2025-08-05,619,2025-09-25,2025-09-30,619,Net 30,Paid,56
INV00105,SUP013,2023-04-15,2654,2023-05-18,2023-05-27,2654,Net 45,Pending,42
INV00365,SUP051,2023-12-31,7709,2024-02-19,2024-02-26,7709,Net 30,Pending,57
INV00456,SUP098,2024-03-31,7923,2024-05-12,2024-05-14,7923,Net 60,Pending,44
INV00342,SUP008,2023-12-08,2041,2024-02-05,2024-02-05,2041,Net 60,Pending,59
INV00309,SUP014,2023-11-05,390,2023-12-23,2023-12-31,390,Net 30,Pending,56
INV00199,SUP061,2023-07-18,7977,2023-09-11,2023-09-20,7977,Net 60,Pending,64
INV00392,SUP050,2024-01-27,9132,2024-03-22,2024-03-27,9132,Net 60,Pending,60
INV00219,SUP048,2023-08-07,3176,2023-09-30,2023-10-06,3176,Net 45,Paid,60
INV00724,SUP026,2024-12-24,6527,2025-02-18,2025-02-26,6527,Net 30,Pending,64
INV00839,SUP001,2025-04-18,9552,2025-05-29,2025-06-05,9552,Net 45,Pending,48
INV00669,SUP083,2024-10-30,7340,2024-12-19,2024-12-25,7340,Net 45,Paid,56
INV00252,SUP048,2023-09-09,2757,2023-10-30,2023-11-02,2757,Net 45,Pending,54
INV00739,SUP053,2025-01-08,8030,2025-02-17,2025-02-19,8030,Net 30,Pending,42
INV00612,SUP053,2024-09-03,1553,2024-10-08,2024-10-13,1553,Net 60,Pending,40
INV00600,SUP085,2024-08-22,1456,2024-10-17,2024-10-20,1456,Net 60,Pending,59
INV00643,SUP043,2024-10-04,209,2024-11-03,2024-11-11,209,Net 30,Paid,38
INV00318,SUP040,2023-11-14,6054,2023-12-15,2023-12-21,6054,Net 45,Pending,37
INV00325,SUP090,2023-11-21,7655,2023-12-28,2024-01-06,7655,Net 60,Paid,46
INV00647,SUP032,2024-10-08,7618,2024-11-15,2024-11-23,7618,Net 45,Paid,46
INV00089,SUP058,2023-03-30,5663,2023-05-06,2023-05-07,5663,Net 60,Pending,38
INV00445,SUP060,2024-03-20,2627,2024-04-30,2024-05-01,2627,Net 30,Pending,42
INV00521,SUP092,2024-06-04,3836,2024-08-02,2024-08-06,3836,Net 60,Pending,63
INV00323,SUP028,2023-11-19,2933,2023-12-27,2023-12-29,2933,Net 60,Pending,40
INV00277,SUP061,2023-10-04,1245,2023-11-13,2023-11-22,1245,Net 45,Pending,49
INV00728,SUP083,2024-12-28,3779,2025-02-10,2025-02-15,3779,Net 60,Paid,49
INV00833,SUP089,2025-04-12,1805,2025-06-05,2025-06-08,1805,Net 30,Pending,57
INV00726,SUP064,2024-12-26,5649,2025-02-11,2025-02-13,5649,Net 60,Paid,49
INV00819,SUP063,2025-03-29,4406,2025-05-15,2025-05-19,4406,Net 60,Paid,51
INV00958,SUP018,2025-08-15,6228,2025-09-25,2025-09-27,6228,Net 45,Paid,43
INV00542,SUP059,2024-06-25,7256,2024-08-02,2024-08-08,7256,Net 60,Paid,44
INV00577,SUP046,2024-07-30,6819,2024-09-01,2024-09-01,6819,Net 60,Paid,33
INV00918,SUP065,2025-07-06,2336,2025-08-21,2025-08-21,2336,Net 30,Paid,46
INV00003,SUP019,2023-01-03,5590,2023-02-05,2023-02-12,5590,Net 45,Paid,40
INV00698,SUP001,2024-11-28,3574,2025-01-06,2025-01-10,3574,Net 30,Pending,43
INV00689,SUP032,2024-11-19,4563,2025-01-15,2025-01-21,4563,Net 45,Pending,63
INV00223,SUP031,2023-08-11,2585,2023-10-01,2023-10-04,2585,Net 60,Paid,54
INV00708,SUP080,2024-12-08,7141,2025-01-10,2025-01-14,7141,Net 30,Pending,37
INV00526,SUP003,2024-06-09,5361,2024-07-28,2024-08-03,5361,Net 45,Pending,55
INV00806,SUP059,2025-03-16,6429,2025-04-30,2025-05-05,6429,Net 30,Pending,50
INV00801,SUP056,2025-03-11,5950,2025-05-03,2025-05-12,5950,Net 45,Pending,62
INV00041,SUP003,2023-02-10,8992,2023-03-30,2023-04-03,8992,Net 45,Paid,52
INV00615,SUP030,2024-09-06,7775,2024-10-21,2024-10-28,7775,Net 45,Paid,52
INV00793,SUP072,2025-03-03,8372,2025-04-29,2025-05-02,8372,Net 60,Pending,60
INV00514,SUP072,2024-05-28,8535,2024-07-24,2024-07-29,8535,Net 60,Paid,62
INV00489,SUP060,2024-05-03,2343,2024-07-01,2024-07-05,2343,Net 30,Pending,63
INV00145,SUP021,2023-05-25,2893,2023-06-25,2023-07-02,2893,Net 45,Pending,38
INV00458,SUP022,2024-04-02,4307,2024-05-04,2024-05-12,4307,Net 60,Pending,40
INV00404,SUP056,2024-02-08,5437,2024-03-31,2024-04-01,5437,Net 60,Paid,53
INV00426,SUP064,2024-03-01,7621,2024-04-07,2024-04-07,7621,Net 45,Pending,37
INV00906,SUP019,2025-06-24,9644,2025-07-25,2025-08-01,9644,Net 60,Paid,38
INV00272,SUP025,2023-09-29,4935,2023-11-23,2023-12-01,4935,Net 45,Paid,63
INV00397,SUP015,2024-02-01,7760,2024-03-08,2024-03-12,7760,Net 30,Paid,40
INV00756,SUP066,2025-01-25,5785,2025-03-08,2025-03-11,5785,Net 60,Pending,45
INV00209,SUP015,2023-07-28,3011,2023-09-18,2023-09-27,3011,Net 30,Pending,61
INV00625,SUP098,2024-09-16,5035,2024-11-13,2024-11-21,5035,Net 60,Paid,66
INV00040,SUP083,2023-02-09,5593,2023-04-06,2023-04-12,5593,Net 30,Paid,62
INV00579,SUP008,2024-08-01,9286,2024-09-04,2024-09-11,9286,Net 45,Paid,41
INV00857,SUP013,2025-05-06,6516,2025-06-12,2025-06-19,6516,Net 30,Paid,44
INV00463,SUP076,2024-04-07,9167,2024-06-04,2024-06-11,9167,Net 60,Paid,65
INV00213,SUP075,2023-08-01,2186,2023-09-16,2023-09-20,2186,Net 45,Paid,50
INV00648,SUP093,2024-10-09,5324,2024-11-20,2024-11-21,5324,Net 60,Paid,43
INV00741,SUP026,2025-01-10,6438,2025-02-14,2025-02-18,6438,Net 30,Pending,39
INV00289,SUP041,2023-10-16,8196,2023-11-18,2023-11-21,8196,Net 60,Pending,36
INV00863,SUP006,2025-05-12,6483,2025-06-25,2025-06-28,6483,Net 45,Paid,47
INV00385,SUP011,2024-01-20,835,2024-03-05,2024-03-12,835,Net 60,Pending,52
INV00084,SUP092,2023-03-25,5476,2023-05-10,2023-05-10,5476,Net 60,Paid,46
INV00176,SUP060,2023-06-25,1836,2023-07-26,2023-08-03,1836,Net 60,Paid,39
INV00820,SUP064,2025-03-30,9885,2025-05-18,2025-05-27,9885,Net 45,Paid,58
INV00664,SUP088,2024-10-25,8375,2024-12-12,2024-12-16,8375,Net 30,Pending,52
INV00170,SUP070,2023-06-19,2053,2023-08-16,2023-08-19,2053,Net 60,Paid,61
INV00736,SUP015,2025-01-05,2106,2025-02-15,2025-02-24,2106,Net 30,Pending,50
INV00261,SUP063,2023-09-18,8552,2023-10-30,2023-11-05,8552,Net 30,Pending,48
INV00466,SUP015,2024-04-10,8506,2024-06-07,2024-06-10,8506,Net 45,Paid,61
INV00619,SUP009,2024-09-10,7019,2024-10-22,2024-10-23,7019,Net 45,Paid,43
INV00780,SUP091,2025-02-18,8350,2025-04-03,2025-04-09,8350,Net 30,Pending,50
INV00899,SUP044,2025-06-17,2760,2025-08-15,2025-08-24,2760,Net 60,Pending,68
INV00992,SUP068,2025-09-18,6224,2025-11-15,2025-11-17,6224,Net 30,Pending,60
INV00091,SUP016,2023-04-01,2895,2023-05-18,2023-05-26,2895,Net 60,Paid,55
INV00835,SUP001,2025-04-14,6967,2025-05-27,2025-06-04,6967,Net 45,Paid,51
INV00103,SUP042,2023-04-13,3304,2023-05-18,2023-05-18,3304,Net 30,Paid,35
INV00057,SUP062,2023-02-26,3273,2023-04-14,2023-04-16,3273,Net 45,Pending,49
INV00149,SUP007,2023-05-29,1863,2023-07-21,2023-07-24,1863,Net 60,Paid,56
INV00709,SUP004,2024-12-09,9750,2025-01-27,2025-02-02,9750,Net 60,Paid,55
INV00544,SUP049,2024-06-27,5493,2024-08-21,2024-08-30,5493,Net 30,Pending,64
INV00549,SUP062,2024-07-02,9609,2024-08-05,2024-08-12,9609,Net 60,Pending,41
INV00250,SUP025,2023-09-07,4399,2023-10-27,2023-11-05,4399,Net 60,Paid,59
INV00665,SUP049,2024-10-26,2200,2024-12-17,2024-12-21,2200,Net 30,Paid,56
INV00675,SUP028,2024-11-05,6197,2024-12-18,2024-12-19,6197,Net 45,Pending,44
INV00783,SUP092,2025-02-21,7009,2025-04-18,2025-04-18,7009,Net 60,Pending,56
INV00781,SUP018,2025-02-19,2325,2025-04-05,2025-04-05,2325,Net 60,Paid,45
INV00538,SUP032,2024-06-21,6931,2024-07-31,2024-08-02,6931,Net 60,Paid,42
INV00965,SUP045,2025-08-22,2571,2025-10-16,2025-10-22,2571,Net 45,Paid,61
INV00856,SUP090,2025-05-05,1046,2025-06-20,2025-06-23,1046,Net 30,Paid,49
INV00115,SUP094,2023-04-25,702,2023-06-07,2023-06-14,702,Net 45,Paid,50
INV00562,SUP020,2024-07-15,7619,2024-08-16,2024-08-24,7619,Net 60,Pending,40
INV00312,SUP050,2023-11-08,6302,2023-12-18,2023-12-24,6302,Net 45,Paid,46
INV00065,SUP048,2023-03-06,4497,2023-04-24,2023-05-03,4497,Net 60,Paid,58
INV00153,SUP079,2023-06-02,1506,2023-07-05,2023-07-09,1506,Net 60,Paid,37
INV00234,SUP003,2023-08-22,9408,2023-10-01,2023-10-08,9408,Net 45,Pending,47
INV00297,SUP064,2023-10-24,2405,2023-12-15,2023-12-16,2405,Net 45,Pending,53
INV00628,SUP032,2024-09-19,7302,2024-10-21,2024-10-27,7302,Net 45,Pending,38
INV00338,SUP040,2023-12-04,6001,2024-01-07,2024-01-12,6001,Net 45,Paid,39
INV00447,SUP087,2024-03-22,4200,2024-04-22,2024-04-30,4200,Net 60,Paid,39
INV00183,SUP059,2023-07-02,7592,2023-08-02,2023-08-10,7592,Net 60,Pending,39
INV00469,SUP063,2024-04-13,3467,2024-05-24,2024-05-27,3467,Net 30,Pending,44
INV00627,SUP009,2024-09-18,6242,2024-11-12,2024-11-21,6242,Net 60,Pending,64
INV00557,SUP004,2024-07-10,7694,2024-09-03,2024-09-03,7694,Net 30,Paid,55
INV00173,SUP035,2023-06-22,3781,2023-08-19,2023-08-24,3781,Net 45,Pending,63
INV00757,SUP030,2025-01-26,4977,2025-03-05,2025-03-07,4977,Net 30,Paid,40
INV00800,SUP037,2025-03-10,8352,2025-05-03,2025-05-06,8352,Net 30,Paid,57
INV00240,SUP025,2023-08-28,7600,2023-10-05,2023-10-08,7600,Net 60,Pending,41
INV00563,SUP077,2024-07-16,3686,2024-09-01,2024-09-01,3686,Net 60,Pending,47
INV00826,SUP095,2025-04-05,5601,2025-05-28,2025-06-03,5601,Net 45,Pending,59
INV00510,SUP095,2024-05-24,917,2024-06-27,2024-07-03,917,Net 60,Pending,40
INV00537,SUP078,2024-06-20,5046,2024-07-29,2024-07-29,5046,Net 60,Paid,39
INV00877,SUP086,2025-05-26,2419,2025-07-03,2025-07-11,2419,Net 30,Paid,46
INV00662,SUP099,2024-10-23,584,2024-12-17,2024-12-25,584,Net 30,Pending,63
INV00672,SUP006,2024-11-02,4378,2024-12-19,2024-12-27,4378,Net 45,Pending,55
INV00038,SUP093,2023-02-07,4090,2023-04-04,2023-04-13,4090,Net 30,Pending,65
INV00080,SUP044,2023-03-21,6531,2023-05-08,2023-05-12,6531,Net 30,Pending,52
INV00168,SUP063,2023-06-17,3963,2023-08-04,2023-08-05,3963,Net 60,Paid,49
INV00227,SUP096,2023-08-15,8320,2023-10-09,2023-10-14,8320,Net 60,Pending,60
INV00127,SUP012,2023-05-07,1063,2023-06-30,2023-07-04,1063,Net 60,Paid,58
INV00382,SUP094,2024-01-17,8187,2024-03-12,2024-03-17,8187,Net 45,Paid,60
INV00945,SUP015,2025-08-02,8869,2025-09-04,2025-09-11,8869,Net 30,Paid,40
INV00037,SUP093,2023-02-06,3756,2023-03-18,2023-03-24,3756,Net 60,Pending,46
INV00177,SUP046,2023-06-26,3896,2023-07-26,2023-08-01,3896,Net 45,Paid,36
INV00126,SUP050,2023-05-06,8058,2023-06-05,2023-06-06,8058,Net 45,Paid,31
INV00829,SUP056,2025-04-08,4012,2025-05-10,2025-05-12,4012,Net 60,Paid,34
INV00509,SUP014,2024-05-23,2702,2024-07-17,2024-07-19,2702,Net 30,Pending,57
INV00028,SUP049,2023-01-28,9367,2023-03-09,2023-03-11,9367,Net 30,Paid,42
INV00464,SUP040,2024-04-08,6948,2024-06-06,2024-06-10,6948,Net 30,Paid,63
INV00995,SUP083,2025-09-21,7396,2025-11-04,2025-11-09,7396,Net 60,Pending,49
INV00713,SUP016,2024-12-13,7848,2025-02-07,2025-02-10,7848,Net 45,Paid,59
INV00151,SUP074,2023-05-31,5792,2023-07-10,2023-07-10,5792,Net 60,Paid,40
INV00940,SUP066,2025-07-28,5767,2025-09-22,2025-09-25,5767,Net 30,Pending,59
INV00051,SUP075,2023-02-20,975,2023-04-07,2023-04-13,975,Net 45,Pending,52
INV00646,SUP097,2024-10-07,7609,2024-11-21,2024-11-30,7609,Net 60,Pending,54
INV00981,SUP074,2025-09-07,1184,2025-10-25,2025-11-01,1184,Net 45,Pending,55
INV00216,SUP054,2023-08-04,1934,2023-09-10,2023-09-15,1934,Net 60,Pending,42
INV00851,SUP008,2025-04-30,9037,2025-05-31,2025-06-05,9037,Net 30,Pending,36
INV00014,SUP018,2023-01-14,2633,2023-02-27,2023-03-08,2633,Net 30,Pending,53
INV00238,SUP010,2023-08-26,3308,2023-10-04,2023-10-05,3308,Net 30,Paid,40
INV00624,SUP075,2024-09-15,5164,2024-11-13,2024-11-21,5164,Net 45,Pending,67
INV00865,SUP014,2025-05-14,6433,2025-06-23,2025-06-23,6433,Net 30,Pending,40
INV00345,SUP090,2023-12-11,5825,2024-01-21,2024-01-25,5825,Net 30,Paid,45
INV00450,SUP095,2024-03-25,5932,2024-05-03,2024-05-08,5932,Net 30,Pending,44
INV00347,SUP081,2023-12-13,8192,2024-01-16,2024-01-21,8192,Net 45,Pending,39
INV00593,SUP013,2024-08-15,6516,2024-09-23,2024-09-30,6516,Net 30,Paid,46
INV00114,SUP002,2023-04-24,7585,2023-06-11,2023-06-17,7585,Net 30,Pending,54
INV00875,SUP006,2025-05-24,460,2025-07-11,2025-07-20,460,Net 45,Paid,57
INV00946,SUP043,2025-08-03,9646,2025-09-07,2025-09-14,9646,Net 60,Pending,42
INV00449,SUP065,2024-03-24,2938,2024-04-25,2024-05-03,2938,Net 60,Pending,40
INV00416,SUP049,2024-02-20,1879,2024-04-03,2024-04-06,1879,Net 45,Paid,46
INV00673,SUP019,2024-11-03,7445,2024-12-06,2024-12-11,7445,Net 45,Pending,38
INV00853,SUP047,2025-05-02,2751,2025-06-08,2025-06-16,2751,Net 30,Pending,45
INV00362,SUP088,2023-12-28,1348,2024-02-19,2024-02-20,1348,Net 60,Paid,54
